Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,155.29920562499998,-2.73958e-09
0.0,0.0,155.298955625,-2.21632e-09
0.0,0.0,155.298705625,-1.64823e-09
0.0,0.0,155.298455625,-2.401733333333333e-09
0.0,0.0,155.298205625,-1.76471e-09
0.0,0.0,155.297955625,-2.22119e-09
0.0,0.0,155.297705625,-2.723285e-09
0.0,0.0,155.297455625,-1.836355e-09
0.0,0.0,155.297205625,-2.21007e-09
0.0,0.0,155.296955625,-2.404115e-09
0.0,0.0,155.296705625,-2.44991e-09
0.0,0.0,155.296455625,-2.398695e-09
0.0,0.0,155.296205625,-2.99447e-09
0.0,0.0,155.295955625,-3.57442e-09
0.0,0.0,155.295705625,-3.069565e-09
0.0,0.0,155.295455625,-2.7557599999999996e-09
0.0,0.0,155.295205625,-2.46094e-09
0.0,0.0,155.294955625,-2.535825e-09
0.0,0.0,155.294705625,-2.093606666666666e-09
0.0,0.0,155.294455625,-1.2969105e-09
0.0,0.0,155.294205625,-1.53539e-09
0.0,0.0,155.293955625,-2.5259399999999997e-09
0.0,0.0,155.293705625,-3.36825e-09
0.0,0.0,155.293455625,-2.974225e-09
0.0,0.0,155.29320562499998,-2.63427e-09
0.0,0.0,155.292955625,-3.14124e-09
0.0,0.0,155.292705625,-2.56441e-09
0.0,0.0,155.292455625,-1.870585e-09
0.0,0.0,155.292205625,-3.02718e-09
0.0,0.0,155.29195562499999,-2.918765e-09
0.0,0.0,155.291705625,-1.7536185e-09
0.0,0.0,155.291455625,-2.5548599999999996e-09
0.0,0.0,155.291205625,-2.79285e-09
0.0,0.0,155.290955625,-2.272505e-09
0.0,0.0,155.290705625,-2.75537e-09
0.0,0.0,155.290455625,-2.70707e-09
0.0,0.0,155.290205625,-3.4391e-09
0.0,0.0,155.289955625,-2.7194700000000003e-09
0.0,0.0,155.289705625,-2.719355e-09
0.0,0.0,155.289455625,-2.83207e-09
0.0,0.0,155.289205625,-2.57505e-09
0.0,0.0,155.288955625,-1.101037e-09
0.0,0.0,155.288705625,-2.42433e-09
0.0,0.0,155.288455625,-2.998275e-09
