Y_dimension(mm),Button,True_depth(m),meas
63.083,0.0,155.3216171875,1.260075e-08
63.083,0.0,155.3213671875,1.361375e-08
63.083,0.0,155.3211171875,1.245355e-08
63.083,0.0,155.3208671875,1.24767e-08
63.083,0.0,155.3206171875,1.288875e-08
63.083,0.0,155.3203671875,1.307355e-08
63.083,0.0,155.3201171875,1.38658e-08
63.083,0.0,155.3198671875,1.421185e-08
63.083,0.0,155.3196171875,1.442635e-08
63.083,0.0,155.3193671875,1.5073e-08
63.083,0.0,155.31911718749998,1.52177e-08
63.083,0.0,155.3188671875,1.527175e-08
63.083,0.0,155.3186171875,1.5552699999999997e-08
63.083,0.0,155.3183671875,1.57229e-08
63.083,0.0,155.3181171875,1.571435e-08
63.083,0.0,155.31786718749998,1.5720100000000003e-08
63.083,0.0,155.3176171875,1.62529e-08
63.083,0.0,155.3173671875,1.680065e-08
63.083,0.0,155.3171171875,1.65441e-08
63.083,0.0,155.3168671875,1.6982050000000002e-08
63.083,0.0,155.3166171875,1.6736550000000002e-08
63.083,0.0,155.3163671875,1.6861750000000002e-08
63.083,0.0,155.3161171875,1.712215e-08
63.083,0.0,155.3158671875,1.6760050000000002e-08
63.083,0.0,155.3156171875,1.72792e-08
63.083,0.0,155.3153671875,1.68001e-08
63.083,0.0,155.3151171875,1.71491e-08
63.083,0.0,155.3148671875,1.711205e-08
63.083,0.0,155.3146171875,1.714175e-08
63.083,0.0,155.3143671875,1.69153e-08
63.083,0.0,155.3141171875,1.7081050000000002e-08
63.083,0.0,155.3138671875,1.697775e-08
63.083,0.0,155.3136171875,1.66095e-08
63.083,0.0,155.3133671875,1.7134949999999998e-08
63.083,0.0,155.31311718749998,1.71797e-08
63.083,0.0,155.3128671875,1.6920149999999997e-08
63.083,0.0,155.3126171875,1.6887499999999998e-08
63.083,0.0,155.3123671875,1.669255e-08
63.083,0.0,155.3121171875,1.694605e-08
63.083,0.0,155.31186718749998,1.7061149999999998e-08
63.083,0.0,155.3116171875,1.6819799999999997e-08
63.083,0.0,155.3113671875,1.70463e-08
63.083,0.0,155.3111171875,1.6934349999999997e-08
63.083,0.0,155.3108671875,1.662125e-08
63.083,0.0,155.3106171875,1.71361e-08
63.083,0.0,155.3103671875,1.650655e-08
63.083,0.0,155.3101171875,1.65176e-08
63.083,0.0,155.3098671875,1.6479849999999998e-08
63.083,0.0,155.3096171875,1.63325e-08
63.083,0.0,155.3093671875,1.6371e-08
63.083,0.0,155.3091171875,1.621045e-08
63.083,0.0,155.3088671875,1.650535e-08
63.083,0.0,155.3086171875,1.62368e-08
63.083,0.0,155.3083671875,1.5818e-08
63.083,0.0,155.3081171875,1.623355e-08
63.083,0.0,155.3078671875,1.5824600000000003e-08
63.083,0.0,155.3076171875,1.629405e-08
63.083,0.0,155.3073671875,1.63204e-08
63.083,0.0,155.3071171875,1.59124e-08
63.083,0.0,155.3068671875,1.639935e-08
63.083,0.0,155.3066171875,1.63893e-08
63.083,0.0,155.3063671875,1.47558e-08
63.083,0.0,155.3061171875,1.6121850000000002e-08
63.083,0.0,155.30586718749998,1.64744e-08
63.083,0.0,155.3056171875,1.589495e-08
63.083,0.0,155.3053671875,1.58696e-08
63.083,0.0,155.3051171875,1.638425e-08
63.083,0.0,155.3048671875,1.56762e-08
63.083,0.0,155.30461718749999,1.5801333333333333e-08
63.083,0.0,155.3043671875,1.60696e-08
63.083,0.0,155.3041171875,1.5486700000000002e-08
63.083,0.0,155.3038671875,1.544295e-08
63.083,0.0,155.3036171875,1.554155e-08
63.083,0.0,155.3033671875,1.54706e-08
63.083,0.0,155.3031171875,1.5947966666666672e-08
63.083,0.0,155.3028671875,1.55568e-08
63.083,0.0,155.3026171875,1.59244e-08
63.083,0.0,155.3023671875,1.53596e-08
63.083,0.0,155.3021171875,1.515785e-08
63.083,0.0,155.3018671875,1.507775e-08
63.083,0.0,155.3016171875,1.54756e-08
63.083,0.0,155.3013671875,1.61574e-08
63.083,0.0,155.3011171875,1.5322100000000002e-08
63.083,0.0,155.3008671875,1.5495799999999998e-08
63.083,0.0,155.3006171875,1.544253333333333e-08
63.083,0.0,155.3003671875,1.56432e-08
63.083,0.0,155.3001171875,1.52299e-08
63.083,0.0,155.29986718749998,1.510735e-08
63.083,0.0,155.2996171875,1.5597749999999998e-08
63.083,0.0,155.2993671875,1.52101e-08
63.083,0.0,155.2991171875,1.5211399999999998e-08
63.083,0.0,155.2988671875,1.526735e-08
63.083,0.0,155.29861718749999,1.495935e-08
63.083,0.0,155.2983671875,1.49549e-08
63.083,0.0,155.2981171875,1.4658e-08
63.083,0.0,155.2978671875,1.507585e-08
63.083,0.0,155.2976171875,1.494735e-08
63.083,0.0,155.2973671875,1.499105e-08
63.083,0.0,155.2971171875,1.540455e-08
63.083,0.0,155.2968671875,1.51503e-08
63.083,0.0,155.2966171875,1.5136100000000003e-08
63.083,0.0,155.2963671875,1.4911e-08
63.083,0.0,155.2961171875,1.471945e-08
63.083,0.0,155.2958671875,1.47066e-08
63.083,0.0,155.2956171875,1.49595e-08
63.083,0.0,155.2953671875,1.53877e-08
63.083,0.0,155.2951171875,1.4629333333333334e-08
63.083,0.0,155.2948671875,1.5088899999999998e-08
63.083,0.0,155.2946171875,1.452465e-08
63.083,0.0,155.2943671875,1.45155e-08
63.083,0.0,155.2941171875,1.47744e-08
63.083,0.0,155.29386718749998,1.4936e-08
63.083,0.0,155.2936171875,1.51628e-08
63.083,0.0,155.2933671875,1.46247e-08
63.083,0.0,155.2931171875,1.4540766666666664e-08
63.083,0.0,155.2928671875,1.474045e-08
63.083,0.0,155.29261718749999,1.58825e-08
63.083,0.0,155.2923671875,1.49799e-08
63.083,0.0,155.2921171875,1.458545e-08
63.083,0.0,155.2918671875,1.48148e-08
63.083,0.0,155.2916171875,1.475595e-08
63.083,0.0,155.2913671875,1.41446e-08
63.083,0.0,155.2911171875,1.5070849999999998e-08
63.083,0.0,155.2908671875,1.4545100000000001e-08
63.083,0.0,155.2906171875,1.51122e-08
63.083,0.0,155.2903671875,1.45458e-08
63.083,0.0,155.2901171875,1.49074e-08
63.083,0.0,155.2898671875,1.479165e-08
63.083,0.0,155.2896171875,1.54119e-08
63.083,0.0,155.2893671875,1.4637e-08
63.083,0.0,155.2891171875,1.488875e-08
63.083,0.0,155.2888671875,1.4466e-08
63.083,0.0,155.2886171875,1.46764e-08
63.083,0.0,155.2883671875,1.54444e-08
63.083,0.0,155.2881171875,1.5296400000000002e-08
63.083,0.0,155.28786718749998,1.533435e-08
63.083,0.0,155.2876171875,1.51761e-08
63.083,0.0,155.2873671875,1.48944e-08
63.083,0.0,155.2871171875,1.502565e-08
63.083,0.0,155.2868671875,1.50888e-08
63.083,0.0,155.28661718749998,1.51207e-08
63.083,0.0,155.2863671875,1.52649e-08
63.083,0.0,155.2861171875,1.5071100000000002e-08
63.083,0.0,155.2858671875,1.530075e-08
63.083,0.0,155.2856171875,1.5196349999999998e-08
63.083,0.0,155.2853671875,1.49548e-08
63.083,0.0,155.2851171875,1.53069e-08
63.083,0.0,155.2848671875,1.50779e-08
63.083,0.0,155.2846171875,1.50815e-08
63.083,0.0,155.2843671875,1.542125e-08
63.083,0.0,155.2841171875,1.50951e-08
63.083,0.0,155.2838671875,1.544175e-08
63.083,0.0,155.2836171875,1.47547e-08
63.083,0.0,155.2833671875,1.526665e-08
63.083,0.0,155.2831171875,1.51563e-08
63.083,0.0,155.2828671875,1.5169000000000002e-08
63.083,0.0,155.2826171875,1.58062e-08
63.083,0.0,155.2823671875,1.57644e-08
63.083,0.0,155.2821171875,1.52236e-08
63.083,0.0,155.28186718749998,1.55411e-08
63.083,0.0,155.2816171875,1.57608e-08
63.083,0.0,155.2813671875,1.55127e-08
63.083,0.0,155.2811171875,1.551785e-08
63.083,0.0,155.2808671875,1.5534e-08
63.083,0.0,155.28061718749998,1.57374e-08
63.083,0.0,155.2803671875,1.6084150000000002e-08
63.083,0.0,155.2801171875,1.541245e-08
63.083,0.0,155.2798671875,1.470695e-08
63.083,0.0,155.2796171875,1.5470800000000002e-08
63.083,0.0,155.2793671875,1.5450600000000002e-08
63.083,0.0,155.2791171875,1.5951049999999998e-08
63.083,0.0,155.2788671875,1.570795e-08
63.083,0.0,155.2786171875,1.57158e-08
63.083,0.0,155.2783671875,1.59736e-08
63.083,0.0,155.2781171875,1.53403e-08
63.083,0.0,155.2778671875,1.551375e-08
63.083,0.0,155.2776171875,1.56798e-08
63.083,0.0,155.2773671875,1.5562749999999998e-08
63.083,0.0,155.2771171875,1.56297e-08
63.083,0.0,155.2768671875,1.561375e-08
63.083,0.0,155.2766171875,1.5660350000000002e-08
63.083,0.0,155.2763671875,1.573265e-08
63.083,0.0,155.2761171875,1.57803e-08
63.083,0.0,155.2758671875,1.5484250000000002e-08
63.083,0.0,155.2756171875,1.58509e-08
63.083,0.0,155.2753671875,1.538075e-08
63.083,0.0,155.2751171875,1.577655e-08
63.083,0.0,155.2748671875,1.597875e-08
63.083,0.0,155.27461718749998,1.58804e-08
63.083,0.0,155.2743671875,1.5898e-08
63.083,0.0,155.2741171875,1.6064249999999998e-08
63.083,0.0,155.2738671875,1.659895e-08
63.083,0.0,155.2736171875,1.60076e-08
63.083,0.0,155.27336718749999,1.65101e-08
63.083,0.0,155.2731171875,1.606195e-08
63.083,0.0,155.2728671875,1.59408e-08
63.083,0.0,155.2726171875,1.60572e-08
63.083,0.0,155.2723671875,1.6190750000000002e-08
63.083,0.0,155.2721171875,1.609665e-08
63.083,0.0,155.2718671875,1.57143e-08
63.083,0.0,155.2716171875,1.595975e-08
63.083,0.0,155.2713671875,1.577775e-08
63.083,0.0,155.2711171875,1.61973e-08
63.083,0.0,155.2708671875,1.665155e-08
63.083,0.0,155.2706171875,1.641015e-08
63.083,0.0,155.2703671875,1.661995e-08
63.083,0.0,155.2701171875,1.61187e-08
63.083,0.0,155.2698671875,1.63011e-08
63.083,0.0,155.2696171875,1.673825e-08
63.083,0.0,155.2693671875,1.622435e-08
63.083,0.0,155.2691171875,1.658535e-08
63.083,0.0,155.2688671875,1.5851e-08
63.083,0.0,155.26861718749998,1.68895e-08
63.083,0.0,155.2683671875,1.62303e-08
63.083,0.0,155.2681171875,1.6843666666666673e-08
63.083,0.0,155.2678671875,1.64576e-08
63.083,0.0,155.2676171875,1.635225e-08
63.083,0.0,155.26736718749999,1.6672550000000002e-08
63.083,0.0,155.2671171875,1.7032100000000002e-08
63.083,0.0,155.2668671875,1.69966e-08
63.083,0.0,155.2666171875,1.728735e-08
63.083,0.0,155.2663671875,1.645555e-08
63.083,0.0,155.2661171875,1.73583e-08
63.083,0.0,155.2658671875,1.654035e-08
63.083,0.0,155.2656171875,1.669465e-08
63.083,0.0,155.2653671875,1.65133e-08
63.083,0.0,155.2651171875,1.73958e-08
63.083,0.0,155.2648671875,1.70252e-08
63.083,0.0,155.2646171875,1.6632900000000002e-08
63.083,0.0,155.2643671875,1.6279100000000002e-08
63.083,0.0,155.2641171875,1.68059e-08
63.083,0.0,155.2638671875,1.714475e-08
63.083,0.0,155.2636171875,1.6828499999999997e-08
63.083,0.0,155.2633671875,1.6954e-08
63.083,0.0,155.2631171875,1.6783550000000002e-08
63.083,0.0,155.2628671875,1.68746e-08
63.083,0.0,155.26261718749998,1.715595e-08
63.083,0.0,155.2623671875,1.77996e-08
