Y_dimension(mm),Button,True_depth(m),meas
62.448,0.0,155.2980015625,2.270519e-05
62.448,0.0,155.2980015625,-3.6118e-06
62.448,0.0,155.2979547079902,-2.622473e-06
62.448,0.0,155.2978085361542,-2.007509e-06
62.448,0.0,155.29762214413302,-1.554537e-06
62.448,0.0,155.297400232463,-1.182227e-06
62.448,0.0,155.29713155918674,-9.00196e-07
62.448,0.0,155.29680569055878,-6.877963e-07
62.448,0.0,155.2964569210041,-5.263428e-07
62.448,0.0,155.29609032825175,-3.991445e-07
62.448,0.0,155.29566692168387,-2.993183e-07
62.448,0.0,155.2952723070713,-2.192392e-07
62.448,0.0,155.29484333445538,-1.621811e-07
62.448,0.0,155.29442017425905,-1.181179e-07
62.448,0.0,155.2940057931235,-8.396455e-08
62.448,0.0,155.2935969362696,-5.484617e-08
62.448,0.0,155.2931747601962,-3.393507e-08
62.448,0.0,155.29277845273512,-1.814624e-08
62.448,0.0,155.2923501935697,-4.467438e-09
62.448,0.0,155.2919191120395,3.856258e-09
62.448,0.0,155.29151159671892,1.076842e-08
62.448,0.0,155.29109711259727,1.688022e-08
62.448,0.0,155.29067141773717,2.192974e-08
62.448,0.0,155.29026472583163,2.268644e-08
62.448,0.0,155.28985101610817,2.450543e-08
62.448,0.0,155.28942500991957,2.791057e-08
62.448,0.0,155.28898470249973,2.767774e-08
62.448,0.0,155.2885916054539,2.956949e-08
62.448,0.0,155.28817145431879,3.061723e-08
62.448,0.0,155.28774817358786,3.015157e-08
62.448,0.0,155.2873489031844,3.255263e-08
62.448,0.0,155.2869094855075,3.178138e-08
62.448,0.0,155.28647656943204,3.15631e-08
62.448,0.0,155.28603086371717,2.994784e-08
62.448,0.0,155.2856293888635,3.202877e-08
62.448,0.0,155.28522808413214,2.536399e-08
62.448,0.0,155.28480180069246,2.820161e-08
62.448,0.0,155.28439357466502,2.938032e-08
62.448,0.0,155.28395883663288,2.951128e-08
62.448,0.0,155.28355512140305,3.023888e-08
62.448,0.0,155.28312360589274,3.032619e-08
62.448,0.0,155.28273628987475,3.016612e-08
62.448,0.0,155.28230828440843,2.920569e-08
62.448,0.0,155.28190032399374,2.782326e-08
62.448,0.0,155.28147237388973,2.981687e-08
62.448,0.0,155.28107536976773,2.846355e-08
62.448,0.0,155.28064437862466,2.821616e-08
62.448,0.0,155.2802458198595,2.85072e-08
62.448,0.0,155.27982184006706,2.88419e-08
62.448,0.0,155.2794232930942,2.843444e-08
62.448,0.0,155.2789771728493,2.85072e-08
62.448,0.0,155.27855620521254,2.692104e-08
62.448,0.0,155.27813789036205,2.686284e-08
62.448,0.0,155.27772776827769,2.776505e-08
62.448,0.0,155.27730375735916,2.770685e-08
62.448,0.0,155.2768680388834,2.753222e-08
62.448,0.0,155.2764423623199,2.713932e-08
62.448,0.0,155.27603524517903,2.108573e-08
62.448,0.0,155.27559205566453,2.392335e-08
62.448,0.0,155.27520458379806,2.428715e-08
62.448,0.0,155.27478242491773,2.594606e-08
62.448,0.0,155.274364004803,2.69356e-08
62.448,0.0,155.2739374796094,2.507295e-08
62.448,0.0,155.2735351717764,2.533488e-08
62.448,0.0,155.2731146648408,2.565503e-08
62.448,0.0,155.27269618894215,2.69647e-08
62.448,0.0,155.27229188452367,2.588786e-08
62.448,0.0,155.2718693375041,2.524757e-08
62.448,0.0,155.27144941341615,2.438901e-08
62.448,0.0,155.27102266072166,2.454908e-08
62.448,0.0,155.270634842704,2.50584e-08
62.448,0.0,155.27020236606808,2.497109e-08
62.448,0.0,155.26979815371678,2.495653e-08
62.448,0.0,155.26936297210452,2.405432e-08
62.448,0.0,155.26893767061443,2.344314e-08
62.448,0.0,155.26852877046076,2.46655e-08
62.448,0.0,155.26810206015114,2.35159e-08
62.448,0.0,155.26768468118593,2.494198e-08
62.448,0.0,155.26727934630858,2.454908e-08
62.448,0.0,155.26684628682798,2.47237e-08
62.448,0.0,155.26640714109033,2.287561e-08
62.448,0.0,155.2660075271755,2.329762e-08
62.448,0.0,155.2655843327314,2.402521e-08
62.448,0.0,155.2651503747781,2.214801e-08
62.448,0.0,155.2647368950421,2.479646e-08
62.448,0.0,155.26433032623413,2.273009e-08
62.448,0.0,155.263889512029,2.273009e-08
62.448,0.0,155.26349044785815,2.319575e-08
62.448,0.0,155.26304622030582,2.271554e-08
62.448,0.0,155.26265880594178,2.268644e-08
62.448,0.0,155.2622443198967,2.31521e-08
62.448,0.0,155.26183653032112,2.31521e-08
62.448,0.0,155.26141351795235,2.201705e-08
62.448,0.0,155.2609976797076,2.28174e-08
62.448,0.0,155.26058115809616,2.31812e-08
62.448,0.0,155.26019333345195,2.146407e-08
62.448,0.0,155.25975043198798,2.214801e-08
62.448,0.0,155.25935162311052,2.271554e-08
62.448,0.0,155.25891182609558,2.23954e-08
62.448,0.0,155.25848283575687,2.24245e-08
62.448,0.0,155.25808876869948,2.149318e-08
62.448,0.0,155.25765608682215,2.137676e-08
62.448,1.0,155.25722995725812,2.20607e-08
62.448,1.0,155.25680295563086,2.153683e-08
62.448,1.0,155.25639505227414,2.092565e-08
62.448,1.0,155.255960709129,2.09111e-08
62.448,1.0,155.25551284920417,2.159504e-08
62.448,1.0,155.2551379287992,2.044544e-08
62.448,1.0,155.25471372970551,2.16678e-08
62.448,1.0,155.25430913044136,2.108573e-08
62.448,1.0,155.25387811927092,2.022716e-08
62.448,1.0,155.25346996688594,1.989247e-08
62.448,1.0,155.25304734770694,1.958688e-08
62.448,1.0,155.2526599623503,2.104207e-08
62.448,1.0,155.25221658067795,1.980516e-08
62.448,0.0,155.2518096486886,2.053275e-08
62.448,0.0,155.25138441431895,1.958688e-08
62.448,0.0,155.25095770249857,1.869921e-08
62.448,0.0,155.25055555773397,1.881563e-08
62.448,0.0,155.25015141819543,1.887383e-08
62.448,0.0,155.24975264616853,1.913577e-08
62.448,0.0,155.24930396575496,1.875742e-08
62.448,0.0,155.24887975237397,1.776789e-08
62.448,0.0,155.24846043778163,1.78261e-08
62.448,0.0,155.24803583452373,1.837907e-08
62.448,0.0,155.2476215445073,1.672015e-08
62.448,0.0,155.2472097779704,1.417357e-08
62.448,0.0,155.24678597992715,1.941225e-08
62.448,1.0,155.24635203832608,2.101297e-08
62.448,1.0,155.2459440960251,2.064917e-08
62.448,1.0,155.2455161669011,1.925218e-08
62.448,1.0,155.2450733411044,1.954322e-08
62.448,1.0,155.24468556891966,1.989247e-08
62.448,1.0,155.2442666907495,1.816079e-08
62.448,1.0,155.24384993590914,1.942681e-08
62.448,1.0,155.24342054240583,1.958688e-08
62.448,1.0,155.2430197151912,1.971785e-08
62.448,1.0,155.24259790947113,1.919398e-08
62.448,1.0,155.2422213714453,1.781154e-08
62.448,1.0,155.24177565254388,1.724402e-08
62.448,1.0,155.24137663568553,1.794251e-08
62.448,0.0,155.24093470191235,1.925218e-08
62.448,0.0,155.24052914928396,1.846638e-08
62.448,0.0,155.2401164453737,1.804437e-08
62.448,0.0,155.23968743151167,1.90048e-08
62.448,0.0,155.2392818713211,1.836452e-08
62.448,0.0,155.2388582344706,1.919398e-08
62.448,0.0,155.23842458488448,1.791341e-08
62.448,0.0,155.23801131811905,1.676381e-08
62.448,0.0,155.2375962218754,1.753506e-08
62.448,0.0,155.23715284020307,1.612352e-08
62.448,0.0,155.23673874466752,1.63709e-08
62.448,0.0,155.23633193948734,1.165608e-08
62.448,0.0,155.23590112755753,2.201705e-08
62.448,0.0,155.23549302065305,2.013985e-08
62.448,0.0,155.23507557484385,1.808803e-08
62.448,0.0,155.23465417546123,1.888839e-08
62.448,0.0,155.2342449799905,1.699664e-08
62.448,0.0,155.233815228465,1.779699e-08
62.448,0.0,155.23340726342377,1.702574e-08
62.448,0.0,155.23297875257137,1.741864e-08
62.448,0.0,155.23258307427204,1.784065e-08
