Y_dimension(mm),Button,True_depth(m),meas
80.404,0.0,157.03261875,2.272373e-05
80.404,0.0,157.03252760222333,-3.558933e-06
80.404,0.0,157.03241318257605,-2.596949e-06
80.404,0.0,157.0322655576408,-1.990498e-06
80.404,0.0,157.03208937980696,-1.530469e-06
80.404,0.0,157.0318603913422,-1.17629e-06
80.404,0.0,157.0315967911883,-9.023788e-07
80.404,0.0,157.03127945357406,-6.880146e-07
80.404,0.0,157.03093469124525,-5.219481e-07
80.404,0.0,157.0305753706106,-3.957393e-07
80.404,0.0,157.03017674406834,-2.944871e-07
80.404,0.0,157.02973417954772,-2.214365e-07
80.404,0.0,157.0293105526162,-1.647131e-07
80.404,0.0,157.02891258539358,-1.158478e-07
80.404,0.0,157.02848213714609,-7.927883e-08
80.404,0.0,157.0280714414844,-5.096081e-08
80.404,0.0,157.02766115033967,-3.294554e-08
80.404,0.0,157.0272359512468,-1.578883e-08
80.404,0.0,157.0268059053695,-2.182787e-10
80.404,0.0,157.02639727387694,1.273293e-08
80.404,0.0,157.0259697752863,1.616718e-08
80.404,0.0,157.0255536051757,1.883018e-08
80.404,0.0,157.02511737671205,2.607703e-08
80.404,0.0,157.02471895531806,3.034074e-08
80.404,0.0,157.0242864218515,3.285822e-08
80.404,0.0,157.02384520797995,3.636524e-08
80.404,0.0,157.02343609004956,3.49537e-08
80.404,0.0,157.0230368597747,3.754394e-08
80.404,0.0,157.02259508453267,3.911555e-08
80.404,0.0,157.02218662024907,3.955211e-08
80.404,0.0,157.02178232609145,3.735477e-08
80.404,0.0,157.02134604812818,4.009053e-08
80.404,0.0,157.02095174167297,4.089088e-08
80.404,0.0,157.02054211641328,4.043977e-08
80.404,0.0,157.0201166321926,4.206959e-08
80.404,0.0,157.01971601695163,3.99159e-08
80.404,0.0,157.0192785969515,4.058529e-08
80.404,0.0,157.01887879235096,4.208414e-08
80.404,0.0,157.01845552163343,3.835885e-08
80.404,0.0,157.0180399787651,4.288449e-08
80.404,0.0,157.01764539060218,4.167669e-08
80.404,0.0,157.01720772081129,4.046888e-08
80.404,0.0,157.01680700491968,3.843161e-08
80.404,0.0,157.01635483360462,3.974128e-08
80.404,0.0,157.01594979843168,4.125468e-08
80.404,0.0,157.01551218131922,3.936293e-08
80.404,0.0,157.01510544001644,3.736932e-08
80.404,0.0,157.01467429410735,4.06726e-08
80.404,0.0,157.01425278464708,4.045432e-08
80.404,0.0,157.01383900689996,4.128378e-08
80.404,0.0,157.01340162943708,3.87663e-08
80.404,0.0,157.01301547069158,3.621972e-08
80.404,0.0,157.01258834688684,4.164758e-08
80.404,0.0,157.0121579861141,4.134199e-08
80.404,0.0,157.01176112816506,3.773312e-08
80.404,0.0,157.01132823772343,3.961031e-08
80.404,0.0,157.01092860978414,4.10073e-08
80.404,0.0,157.0105030194233,4.046888e-08
80.404,0.0,157.01008740390748,4.161848e-08
80.404,0.0,157.0096901046535,3.995956e-08
80.404,0.0,157.00925028633753,3.995956e-08
80.404,0.0,157.0088302732172,4.174944e-08
80.404,0.0,157.00841625715458,4.145841e-08
80.404,0.0,157.00800810527303,3.936293e-08
80.404,0.0,157.00760210565923,3.857713e-08
80.404,0.0,157.00716558486823,4.06726e-08
80.404,0.0,157.00677266778973,3.835885e-08
80.404,0.0,157.0063352161049,3.994501e-08
80.404,0.0,157.00589939855269,3.917376e-08
80.404,0.0,157.00547506249103,3.872265e-08
80.404,0.0,157.00509399613918,4.074536e-08
80.404,0.0,157.0046638299303,4.035246e-08
80.404,0.0,157.00422977631976,4.030881e-08
80.404,0.0,157.00378242909727,3.918831e-08
80.404,0.0,157.00335790110014,3.953755e-08
80.404,0.0,157.00296615747231,4.070171e-08
80.404,0.0,157.00254767634564,3.72529e-08
80.404,0.0,157.00215033748026,4.195317e-08
80.404,0.0,157.00171845142694,3.98868e-08
80.404,0.0,157.0013184160081,4.126923e-08
80.404,0.0,157.00088409732567,3.83734e-08
80.404,0.0,157.00047922376808,3.818423e-08
80.404,0.0,157.0000733714307,3.947935e-08
80.404,0.0,156.99964513565655,3.712194e-08
80.404,0.0,156.99924459443633,3.651076e-08
80.404,0.0,156.99880712605022,3.940659e-08
80.404,0.0,156.99841146892118,3.444438e-08
80.404,0.0,156.99799273657305,3.536115e-08
80.404,0.0,156.9975659036575,3.227615e-08
80.404,0.0,156.99716673354092,3.49828e-08
80.404,0.0,156.99673570731952,3.472087e-08
80.404,0.0,156.99630325443576,3.441528e-08
80.404,0.0,156.99586651764506,3.636524e-08
80.404,0.0,156.99543103439785,3.474997e-08
80.404,0.0,156.99503497446614,3.977038e-08
80.404,0.0,156.99462468676563,3.617606e-08
80.404,0.0,156.99418805700577,3.523019e-08
80.404,0.0,156.9937684625828,3.540481e-08
80.404,0.0,156.9933525792273,3.684545e-08
80.404,0.0,156.9929200329007,3.587047e-08
80.404,0.0,156.9925405091974,3.237801e-08
80.404,0.0,156.99211378075196,3.536115e-08
80.404,0.0,156.99170288942767,3.53466e-08
80.404,0.0,156.99128193518354,3.703462e-08
80.404,0.0,156.9908333659686,3.930472e-08
80.404,0.0,156.99042648887294,3.562309e-08
80.404,0.0,156.99004573541418,3.699097e-08
80.404,0.0,156.9896154227008,3.524474e-08
80.404,0.0,156.98921241448502,3.632158e-08
80.404,0.0,156.9887707294055,3.444438e-08
80.404,0.0,156.9883705031172,3.572495e-08
80.404,0.0,156.987946265123,3.518653e-08
80.404,0.0,156.9875243955461,3.434252e-08
80.404,0.0,156.98712947012848,3.844616e-08
80.404,0.0,156.9866875763102,3.620517e-08
80.404,0.0,156.98628331877882,3.821333e-08
80.404,0.0,156.98584466827683,3.601599e-08
80.404,0.0,156.98541422314503,3.565219e-08
80.404,0.0,156.98500460851284,3.787864e-08
80.404,0.0,156.98459862374008,3.816967e-08
80.404,0.0,156.98416454617703,3.745663e-08
80.404,0.0,156.9837240667639,3.706373e-08
80.404,0.0,156.98330389001117,3.483729e-08
80.404,0.0,156.98288215690206,3.569585e-08
80.404,0.0,156.9824647759215,3.237801e-08
80.404,0.0,156.98206086138225,3.370224e-08
80.404,0.0,156.98164449501104,3.400783e-08
80.404,0.0,156.98123628081808,3.07482e-08
80.404,0.0,156.9808301291967,3.1534e-08
80.404,0.0,156.98040511881808,3.182504e-08
80.404,0.0,156.9800038843757,3.469177e-08
80.404,0.0,156.97960034803475,3.508467e-08
80.404,0.0,156.97916101103664,3.316381e-08
80.404,0.0,156.97876414282953,3.502646e-08
80.404,0.0,156.97832379642966,3.582682e-08
80.404,0.0,156.97792915057036,3.802415e-08
80.404,0.0,156.9775180419423,3.464811e-08
80.404,0.0,156.9770880954481,3.335299e-08
80.404,0.0,156.97665415642084,3.103924e-08
80.404,0.0,156.97625096336083,3.294554e-08
80.404,0.0,156.97580976985637,3.441528e-08
80.404,0.0,156.9753679408692,3.124296e-08
80.404,0.0,156.9749624874646,3.332389e-08
80.404,0.0,156.97456178075447,3.204332e-08
80.404,0.0,156.97413092644857,3.227615e-08
80.404,0.0,156.97372979076556,3.345485e-08
80.404,0.0,156.97328900793713,3.319292e-08
80.404,0.0,156.97288555023226,3.293098e-08
80.404,0.0,156.9724609378101,3.263995e-08
80.404,0.0,156.97204639624516,3.326568e-08
80.404,0.0,156.97164401491906,3.348396e-08
80.404,0.0,156.9712007897567,3.464811e-08
80.404,0.0,156.97080842100763,3.159221e-08
80.404,0.0,156.9703617368402,2.972956e-08
80.404,0.0,156.96995798121998,3.137393e-08
80.404,0.0,156.96956232956,3.243622e-08
80.404,0.0,156.9691376044227,3.397872e-08
80.404,0.0,156.96873500625938,3.215973e-08
80.404,0.0,156.96829628983448,3.329478e-08
80.404,0.0,156.96789772727905,3.381865e-08
80.404,0.0,156.9674743313358,3.271271e-08
80.404,0.0,156.9670510593504,3.338209e-08
80.404,0.0,156.9666241086795,3.122841e-08
80.404,0.0,156.9662264280054,3.07482e-08
80.404,0.0,156.96578548993205,3.179593e-08
80.404,0.0,156.96535088974315,3.11411e-08
80.404,0.0,156.9649208402272,3.313471e-08
80.404,0.0,156.96453820319505,2.996239e-08
80.404,0.0,156.96411581267887,3.098103e-08
80.404,0.0,156.96367736674088,3.22616e-08
80.404,0.0,156.96327693385544,3.346941e-08
80.404,0.0,156.96283748041796,3.23198e-08
80.404,0.0,156.96243397566698,3.093737e-08
80.404,0.0,156.96201452846583,3.253808e-08
80.404,0.0,156.96159375085344,3.149034e-08
80.404,0.0,156.96119361317187,3.151945e-08
80.404,0.0,156.96077184393422,3.138848e-08
80.404,0.0,156.96035490011886,2.920569e-08
80.404,0.0,156.95995133317825,3.019522e-08
80.404,0.0,156.9595372656553,3.068999e-08
80.404,0.0,156.95911150619173,3.151945e-08
80.404,0.0,156.95869556585902,3.098103e-08
80.404,0.0,156.95827131985217,3.051537e-08
80.404,0.0,156.95784833716385,3.170862e-08
80.404,0.0,156.95746273375238,2.997695e-08
80.404,0.0,156.95703787250528,3.258174e-08
80.404,0.0,156.95659002852938,3.115565e-08
80.404,0.0,156.95617891575134,2.967136e-08
80.404,0.0,156.95574996944825,3.143214e-08
80.404,0.0,156.9553441033099,3.204332e-08
80.404,0.0,156.95490635700642,3.133027e-08
80.404,0.0,156.95447233692622,2.952584e-08
80.404,0.0,156.95405306557717,3.242167e-08
80.404,0.0,156.95366462511444,3.160676e-08
80.404,0.0,156.95322318590078,3.234891e-08
80.404,0.0,156.95280053173383,3.173773e-08
80.404,0.0,156.95238548036917,3.060268e-08
80.404,0.0,156.95198593082543,3.172318e-08
80.404,0.0,156.9515908581096,3.060268e-08
80.404,0.0,156.9511555490301,3.45899e-08
80.404,0.0,156.9507143719397,3.288733e-08
80.404,0.0,156.95031441156766,3.140303e-08
80.404,0.0,156.94990165261734,3.125751e-08
80.404,0.0,156.9495018203388,3.165042e-08
80.404,0.0,156.9490712093827,3.198511e-08
80.404,0.0,156.94867072993176,3.26836e-08
80.404,0.0,156.9482400920582,2.990419e-08
80.404,0.0,156.94781566735165,2.939487e-08
80.404,0.0,156.94741640516236,3.23198e-08
80.404,0.0,156.94699022721147,3.760215e-08
80.404,0.0,156.94657031667944,3.611785e-08
80.404,0.0,156.94613953961058,3.687455e-08
80.404,0.0,156.9457401847935,3.412424e-08
80.404,0.0,156.94530690385355,3.581226e-08
80.404,0.0,156.9448674309201,3.783498e-08
80.404,0.0,156.94446660775682,3.470632e-08
80.404,0.0,156.9440373044832,3.528839e-08
80.404,0.0,156.94361206221987,3.345485e-08
80.404,0.0,156.94320929023613,3.45899e-08
80.404,0.0,156.94277334963874,3.60742e-08
80.404,0.0,156.9423757763984,3.572495e-08
80.404,0.0,156.94193612675213,3.702007e-08
80.404,0.0,156.94153803713297,3.624882e-08
80.404,0.0,156.94113563079094,3.603054e-08
80.404,0.0,156.94071085616247,3.429886e-08
80.404,0.0,156.94030007230967,3.669993e-08
80.404,0.0,156.9398844657735,3.575406e-08
80.404,0.0,156.9394547510229,3.639434e-08
80.404,0.0,156.93907078737362,3.696186e-08
80.404,0.0,156.9386426859631,3.64671e-08
80.404,0.0,156.93822270815525,3.460445e-08
80.404,0.0,156.93779917022556,3.611785e-08
80.404,0.0,156.93736478924964,3.639434e-08
80.404,0.0,156.9369634913378,3.718014e-08
80.404,0.0,156.9365544073605,3.365858e-08
80.404,0.0,156.93612654818205,3.745663e-08
80.404,0.0,156.93568707071987,3.581226e-08
80.404,0.0,156.93528545842668,3.703462e-08
80.404,0.0,156.9348512126831,3.662717e-08
80.404,0.0,156.93442220217503,3.434252e-08
80.404,0.0,156.93399323472454,3.528839e-08
80.404,0.0,156.93358283588503,3.45899e-08
80.404,0.0,156.9331887163279,3.648165e-08
80.404,0.0,156.93275218048964,3.501191e-08
80.404,0.0,156.93232263961858,3.338209e-08
80.404,0.0,156.93192856023768,3.639434e-08
80.404,0.0,156.93151291522128,3.259629e-08
80.404,0.0,156.9310890772119,3.604509e-08
80.404,0.0,156.9306867867844,3.715104e-08
80.404,0.0,156.93026200920502,3.681635e-08
80.404,0.0,156.9298458884778,3.442983e-08
80.404,0.0,156.9294268722973,3.374589e-08
80.404,0.0,156.92900236043388,3.653986e-08
80.404,0.0,156.92862276265876,3.718014e-08
80.404,0.0,156.92817546917505,3.653986e-08
80.404,0.0,156.92775520960046,3.255263e-08
80.404,0.0,156.92735209178574,3.483729e-08
80.404,0.0,156.92692852247873,3.632158e-08
80.404,0.0,156.92650594397642,3.418245e-08
80.404,0.0,156.92608231607718,3.886817e-08
80.404,0.0,156.9256784503352,3.636524e-08
80.404,0.0,156.9252274117212,3.608875e-08
80.404,0.0,156.92480742375878,3.621972e-08
80.404,0.0,156.92439900101945,3.776222e-08
80.404,0.0,156.92397011062636,3.642344e-08
80.404,0.0,156.92355078060652,3.460445e-08
80.404,0.0,156.92315415860057,3.61033e-08
80.404,0.0,156.92272017031348,3.745663e-08
80.404,0.0,156.92229333295097,3.879541e-08
80.404,0.0,156.9218860066071,3.653986e-08
80.404,0.0,156.9214827617463,3.515743e-08
80.404,0.0,156.92108519425537,3.704918e-08
80.404,0.0,156.92065654491049,3.467721e-08
80.404,0.0,156.92025819159537,3.603054e-08
80.404,0.0,156.91981773559615,3.338209e-08
80.404,0.0,156.91937917492595,3.370224e-08
80.404,0.0,156.9189872592056,3.684545e-08
80.404,0.0,156.91857502738895,3.595778e-08
80.404,0.0,156.91817516688323,3.480818e-08
80.404,0.0,156.91774473996887,3.523019e-08
80.404,0.0,156.91730704743924,3.601599e-08
80.404,0.0,156.91690849844107,3.720925e-08
