Y_dimension(mm),Button,True_Depth(m),meas
78.881,0.0,155.3201921875,1.70275e-08
78.881,0.0,155.3199421875,1.6410099999999998e-08
78.881,0.0,155.31969218749998,1.675e-08
78.881,0.0,155.3194421875,1.652095e-08
78.881,0.0,155.3191921875,1.52471e-08
78.881,0.0,155.3189421875,1.804745e-08
78.881,0.0,155.31869218749998,1.700035e-08
78.881,0.0,155.31844218749998,1.671585e-08
78.881,0.0,155.3181921875,1.72597e-08
78.881,0.0,155.3179421875,1.764445e-08
78.881,0.0,155.3176921875,1.645145e-08
78.881,0.0,155.31744218749998,1.72378e-08
78.881,0.0,155.31719218749998,1.53134e-08
78.881,0.0,155.3169421875,1.7698450000000002e-08
78.881,0.0,155.3166921875,1.51012e-08
78.881,0.0,155.3164421875,1.8780400000000002e-08
78.881,0.0,155.31619218749998,1.77502e-08
78.881,0.0,155.31594218749999,1.80749e-08
78.881,0.0,155.3156921875,1.7722800000000002e-08
78.881,0.0,155.3154421875,1.70917e-08
78.881,0.0,155.31519218749997,1.68461e-08
78.881,0.0,155.31494218749998,1.759915e-08
78.881,0.0,155.3146921875,1.483115e-08
78.881,0.0,155.3144421875,1.76574e-08
78.881,0.0,155.3141921875,1.71988e-08
78.881,0.0,155.31394218749998,1.56892e-08
78.881,0.0,155.31369218749998,1.807755e-08
78.881,0.0,155.3134421875,1.75069e-08
78.881,0.0,155.3131921875,1.609145e-08
78.881,0.0,155.3129421875,1.781145e-08
78.881,0.0,155.31269218749998,1.702765e-08
78.881,0.0,155.31244218749998,1.745895e-08
78.881,0.0,155.3121921875,1.815435e-08
78.881,0.0,155.3119421875,1.573215e-08
78.881,0.0,155.3116921875,1.79026e-08
78.881,0.0,155.31144218749998,1.80428e-08
78.881,0.0,155.31119218749998,1.69984e-08
78.881,0.0,155.3109421875,1.7307749999999998e-08
78.881,0.0,155.3106921875,1.4075e-08
78.881,0.0,155.3104421875,1.71657e-08
78.881,0.0,155.31019218749998,1.792385e-08
