Y_dimension(mm),Button,True_depth(m),meas
12.937,0.0,155.3181015625,1.811855e-05
12.937,0.0,155.3181015625,-3.544628e-06
12.937,0.0,155.3181015625,-2.592977e-06
12.937,0.0,155.31799666365723,-1.986453e-06
12.937,0.0,155.31781256631578,-1.53268e-06
12.937,0.0,155.31758749583543,-1.183784e-06
12.937,0.0,155.31731381238814,-9.12798e-07
12.937,0.0,155.31700141923966,-7.028284e-07
12.937,0.0,155.31666278570293,-5.276088e-07
12.937,0.0,155.31628528466632,-3.900495e-07
12.937,0.0,155.31585124036624,-2.892048e-07
12.937,0.0,155.31544775848846,-2.112938e-07
12.937,0.0,155.31505102687035,-1.542357e-07
12.937,0.0,155.31462902625958,-1.119915e-07
12.937,0.0,155.31420020398966,-8.082134e-08
12.937,0.0,155.31378165667167,-5.650509e-08
12.937,0.0,155.3133747520227,-3.565219e-08
12.937,0.0,155.31293581025665,-1.834997e-08
12.937,0.0,155.31253194683993,-7.421477e-09
12.937,0.0,155.3120944991382,-1.74623e-10
12.937,0.0,155.31169120102416,9.313226e-09
12.937,0.0,155.31126505274437,1.359149e-08
12.937,0.0,155.31083079614788,1.615263e-08
12.937,0.0,155.31040364609163,1.738954e-08
12.937,0.0,155.3099865338479,2.105662e-08
12.937,0.0,155.3095687535215,2.326851e-08
12.937,0.0,155.30915266270858,2.431625e-08
12.937,0.0,155.30872297119396,2.971501e-08
12.937,0.0,155.30833538117514,2.908928e-08
12.937,0.0,155.30790903304518,3.093737e-08
12.937,0.0,155.30749310732722,3.133027e-08
12.937,0.0,155.30707712832105,3.195601e-08
12.937,0.0,155.3066686732166,2.938032e-08
12.937,0.0,155.3062487374057,3.016612e-08
12.937,0.0,155.30584111434433,2.740126e-08
12.937,0.0,155.30542102018208,2.753222e-08
12.937,0.0,155.30500557436446,3.048626e-08
12.937,0.0,155.3045997301239,2.913293e-08
12.937,0.0,155.30416616789893,2.911838e-08
12.937,0.0,155.3037744801351,2.859451e-08
12.937,0.0,155.3033525006859,2.971501e-08
12.937,0.0,155.30293435998118,3.045716e-08
12.937,0.0,155.30248019285,2.540764e-08
12.937,0.0,155.3020674113373,2.780871e-08
12.937,0.0,155.30165146527136,2.792513e-08
12.937,0.0,155.3012284400529,2.871093e-08
12.937,0.0,155.30078206069888,3.03844e-08
12.937,0.0,155.3003653970648,2.817251e-08
12.937,0.0,155.29997157984712,2.569868e-08
12.937,0.0,155.2995799208775,2.705201e-08
12.937,0.0,155.29914802452117,2.661545e-08
