Y_dimension(mm),Button,True_depth(m),meas
0.0,0.0,155.322403125,2.917496666666666e-09
0.0,0.0,155.322153125,3.11065e-09
0.0,0.0,155.321903125,3.055475e-09
0.0,0.0,155.321653125,2.9677299999999996e-09
0.0,0.0,155.321403125,3.0562000000000003e-09
0.0,0.0,155.321153125,3.611745e-09
0.0,0.0,155.320903125,4.29898e-09
0.0,0.0,155.320653125,4.5629e-09
0.0,0.0,155.32040312499998,4.807905e-09
0.0,0.0,155.320153125,4.90899e-09
0.0,0.0,155.319903125,5.210874999999999e-09
0.0,0.0,155.319653125,5.848035e-09
0.0,0.0,155.319403125,7.5528e-09
0.0,0.0,155.319153125,7.98786e-09
0.0,0.0,155.318903125,8.445945e-09
0.0,0.0,155.318653125,9.016005e-09
0.0,0.0,155.318403125,9.36458e-09
0.0,0.0,155.318153125,9.952525e-09
0.0,0.0,155.317903125,1.04308e-08
0.0,0.0,155.317653125,1.09872e-08
0.0,0.0,155.317403125,1.137535e-08
0.0,0.0,155.317153125,1.19167e-08
0.0,0.0,155.316903125,1.211815e-08
0.0,0.0,155.316653125,1.240725e-08
0.0,0.0,155.316403125,1.28248e-08
0.0,0.0,155.316153125,1.32284e-08
0.0,0.0,155.315903125,1.37187e-08
0.0,0.0,155.315653125,1.395845e-08
0.0,0.0,155.315403125,1.436305e-08
0.0,0.0,155.315153125,1.47045e-08
0.0,0.0,155.314903125,1.481325e-08
0.0,0.0,155.314653125,1.50335e-08
0.0,0.0,155.31440312499998,1.52585e-08
0.0,0.0,155.314153125,1.54458e-08
0.0,0.0,155.313903125,1.56275e-08
0.0,0.0,155.313653125,1.5858049999999998e-08
0.0,0.0,155.313403125,1.60297e-08
0.0,0.0,155.313153125,1.60454e-08
0.0,0.0,155.312903125,1.61907e-08
0.0,0.0,155.312653125,1.6356450000000002e-08
0.0,0.0,155.312403125,1.648935e-08
0.0,0.0,155.312153125,1.67267e-08
0.0,0.0,155.311903125,1.6622049999999998e-08
0.0,0.0,155.311653125,1.6661099999999998e-08
0.0,0.0,155.311403125,1.687165e-08
0.0,0.0,155.311153125,1.6806849999999998e-08
0.0,0.0,155.310903125,1.69357e-08
0.0,0.0,155.310653125,1.69196e-08
0.0,0.0,155.310403125,1.691725e-08
0.0,0.0,155.310153125,1.70986e-08
0.0,0.0,155.309903125,1.72243e-08
0.0,0.0,155.309653125,1.72094e-08
0.0,0.0,155.309403125,1.712015e-08
0.0,0.0,155.309153125,1.72387e-08
0.0,0.0,155.308903125,1.7195649999999998e-08
0.0,0.0,155.308653125,1.73214e-08
0.0,0.0,155.30840312499998,1.7409e-08
0.0,0.0,155.308153125,1.71849e-08
0.0,0.0,155.307903125,1.7476249999999997e-08
