Y_dimension(mm),Button,True_depth(m),meas
83.73,0.0,157.0398609375,2.12846e-08
83.73,0.0,157.03961093750002,2.11529e-08
83.73,0.0,157.03936093750002,2.12486e-08
83.73,0.0,157.0391109375,2.1316700000000002e-08
83.73,0.0,157.0388609375,2.13759e-08
83.73,0.0,157.0386109375,2.15374e-08
83.73,0.0,157.03836093750002,2.14346e-08
83.73,0.0,157.03811093750002,2.141085e-08
83.73,0.0,157.0378609375,2.13473e-08
83.73,0.0,157.0376109375,2.14749e-08
83.73,0.0,157.0373609375,2.13936e-08
83.73,0.0,157.03711093750002,2.1406e-08
83.73,0.0,157.03686093750002,2.13762e-08
83.73,0.0,157.0366109375,2.12549e-08
83.73,0.0,157.0363609375,2.11441e-08
83.73,0.0,157.0361109375,2.11548e-08
83.73,0.0,157.03586093750002,2.117755e-08
83.73,0.0,157.0356109375,2.10312e-08
83.73,0.0,157.0353609375,2.0999e-08
83.73,0.0,157.0351109375,2.08431e-08
83.73,0.0,157.0348609375,2.08576e-08
83.73,0.0,157.03461093750002,2.09942e-08
83.73,0.0,157.0343609375,2.092485e-08
83.73,0.0,157.0341109375,2.09121e-08
83.73,0.0,157.0338609375,2.07112e-08
83.73,0.0,157.03361093750001,2.09077e-08
83.73,0.0,157.03336093750002,2.07593e-08
83.73,0.0,157.0331109375,2.09588e-08
83.73,0.0,157.0328609375,2.08419e-08
83.73,0.0,157.0326109375,2.07113e-08
83.73,0.0,157.03236093750002,2.07199e-08
83.73,0.0,157.03211093750002,2.067575e-08
83.73,0.0,157.0318609375,2.06207e-08
83.73,0.0,157.0316109375,2.048565e-08
83.73,0.0,157.0313609375,2.05591e-08
83.73,0.0,157.03111093750002,2.06564e-08
83.73,0.0,157.03086093750002,2.05004e-08
83.73,0.0,157.0306109375,2.05661e-08
83.73,0.0,157.0303609375,2.050575e-08
83.73,0.0,157.0301109375,2.058315e-08
83.73,0.0,157.02986093750002,2.05048e-08
83.73,0.0,157.02961093750002,2.05199e-08
83.73,0.0,157.0293609375,2.0464e-08
83.73,0.0,157.0291109375,2.041295e-08
83.73,0.0,157.0288609375,2.05034e-08
83.73,0.0,157.02861093750002,2.05149e-08
83.73,0.0,157.0283609375,2.035215e-08
83.73,0.0,157.0281109375,2.03233e-08
83.73,0.0,157.0278609375,2.04024e-08
83.73,0.0,157.0276109375,2.034845e-08
83.73,0.0,157.02736093750002,2.03461e-08
83.73,0.0,157.0271109375,2.02204e-08
83.73,0.0,157.0268609375,2.020965e-08
83.73,0.0,157.0266109375,2.03042e-08
83.73,0.0,157.02636093750002,2.03545e-08
83.73,0.0,157.02611093750002,2.02606e-08
83.73,0.0,157.0258609375,2.0139e-08
83.73,0.0,157.0256109375,2.0108350000000003e-08
83.73,0.0,157.0253609375,2.020915e-08
83.73,0.0,157.02511093750002,2.001015e-08
83.73,0.0,157.02486093750002,2.00888e-08
83.73,0.0,157.0246109375,2.009865e-08
83.73,0.0,157.0243609375,1.99382e-08
83.73,0.0,157.0241109375,2.00494e-08
83.73,0.0,157.02386093750002,2.00211e-08
83.73,0.0,157.02361093750002,1.997095e-08
83.73,0.0,157.0233609375,2.0023e-08
83.73,0.0,157.0231109375,2.00354e-08
83.73,0.0,157.0228609375,1.99123e-08
83.73,0.0,157.02261093750002,1.99714e-08
83.73,0.0,157.0223609375,2.00258e-08
83.73,0.0,157.0221109375,2.005775e-08
83.73,0.0,157.0218609375,1.98501e-08
83.73,0.0,157.0216109375,1.99535e-08
83.73,0.0,157.02136093750002,1.983015e-08
83.73,0.0,157.0211109375,1.9833e-08
83.73,0.0,157.0208609375,1.98407e-08
83.73,0.0,157.0206109375,1.9869450000000002e-08
83.73,0.0,157.02036093750002,1.98194e-08
83.73,0.0,157.02011093750002,1.9728e-08
83.73,0.0,157.0198609375,1.97596e-08
83.73,0.0,157.0196109375,1.96797e-08
83.73,0.0,157.0193609375,1.970575e-08
83.73,0.0,157.01911093750002,1.9736200000000003e-08
83.73,0.0,157.01886093750002,1.96755e-08
83.73,0.0,157.0186109375,1.967245e-08
83.73,0.0,157.0183609375,1.98287e-08
83.73,0.0,157.0181109375,1.9627750000000002e-08
83.73,0.0,157.01786093750002,1.96133e-08
83.73,0.0,157.01761093750002,1.95814e-08
83.73,0.0,157.0173609375,1.949205e-08
83.73,0.0,157.0171109375,1.96915e-08
83.73,0.0,157.0168609375,1.92769e-08
83.73,0.0,157.01661093750002,1.963435e-08
83.73,0.0,157.0163609375,1.952335e-08
83.73,0.0,157.0161109375,1.96612e-08
83.73,0.0,157.0158609375,1.948515e-08
83.73,0.0,157.01561093749999,1.94818e-08
83.73,0.0,157.01536093750002,1.95269e-08
83.73,0.0,157.0151109375,1.942235e-08
83.73,0.0,157.0148609375,1.9321800000000002e-08
83.73,0.0,157.0146109375,1.930795e-08
83.73,0.0,157.01436093750002,1.91175e-08
83.73,0.0,157.01411093750002,1.94167e-08
83.73,0.0,157.0138609375,1.93785e-08
83.73,0.0,157.0136109375,1.93822e-08
83.73,0.0,157.0133609375,1.933945e-08
83.73,0.0,157.01311093750002,1.93348e-08
83.73,0.0,157.01286093750002,1.9345e-08
83.73,0.0,157.0126109375,1.938135e-08
83.73,0.0,157.0123609375,1.948315e-08
83.73,0.0,157.0121109375,1.92079e-08
83.73,0.0,157.01186093750002,1.92883e-08
83.73,0.0,157.01161093750002,1.93094e-08
83.73,0.0,157.0113609375,1.9218e-08
83.73,0.0,157.0111109375,1.9284e-08
83.73,0.0,157.0108609375,1.91691e-08
83.73,0.0,157.01061093750002,1.912285e-08
83.73,0.0,157.0103609375,1.911515e-08
83.73,0.0,157.0101109375,1.899865e-08
83.73,0.0,157.0098609375,1.90549e-08
83.73,0.0,157.0096109375,1.89669e-08
83.73,0.0,157.00936093750002,1.896585e-08
83.73,0.0,157.0091109375,1.88669e-08
83.73,0.0,157.0088609375,1.894815e-08
83.73,0.0,157.0086109375,1.884205e-08
83.73,1.0,157.00836093750002,1.89324e-08
83.73,0.0,157.00811093750002,1.89564e-08
83.73,0.0,157.0078609375,1.88216e-08
83.73,1.0,157.0076109375,1.8814e-08
83.73,1.0,157.0073609375,1.875435e-08
83.73,0.0,157.00711093750002,1.87096e-08
83.73,0.0,157.00686093750002,1.87519e-08
83.73,1.0,157.0066109375,1.869195e-08
83.73,1.0,157.0063609375,1.870095e-08
83.73,0.0,157.0061109375,1.86984e-08
83.73,0.0,157.00586093750002,1.871145e-08
83.73,1.0,157.00561093750002,1.866235e-08
83.73,1.0,157.0053609375,1.861805e-08
83.73,1.0,157.0051109375,1.85981e-08
83.73,1.0,157.0048609375,1.85973e-08
83.73,1.0,157.00461093750002,1.856745e-08
83.73,1.0,157.0043609375,1.85481e-08
83.73,0.0,157.0041109375,1.84795e-08
83.73,0.0,157.0038609375,1.85179e-08
83.73,0.0,157.0036109375,1.837085e-08
83.73,1.0,157.00336093750002,1.83208e-08
83.73,1.0,157.0031109375,1.83744e-08
83.73,1.0,157.0028609375,1.83883e-08
83.73,1.0,157.0026109375,1.81935e-08
83.73,1.0,157.00236093750001,1.83409e-08
83.73,1.0,157.00211093750002,1.81931e-08
83.73,1.0,157.0018609375,1.82212e-08
83.73,1.0,157.0016109375,1.81648e-08
83.73,1.0,157.0013609375,1.810545e-08
83.73,1.0,157.00111093750002,1.80686e-08
83.73,1.0,157.00086093750002,1.81002e-08
83.73,1.0,157.0006109375,1.80451e-08
83.73,1.0,157.0003609375,1.7806150000000002e-08
83.73,1.0,157.0001109375,1.78984e-08
83.73,1.0,156.99986093750002,1.7865549999999998e-08
83.73,1.0,156.99961093750002,1.78567e-08
83.73,0.0,156.9993609375,1.80021e-08
83.73,1.0,156.9991109375,1.78665e-08
83.73,1.0,156.9988609375,1.77505e-08
83.73,1.0,156.99861093750002,1.78401e-08
83.73,1.0,156.99836093750002,1.78685e-08
83.73,1.0,156.9981109375,1.78042e-08
83.73,1.0,156.9978609375,1.776425e-08
83.73,1.0,156.9976109375,1.78719e-08
83.73,0.0,156.99736093750002,1.7585e-08
83.73,0.0,156.9971109375,1.76859e-08
83.73,1.0,156.9968609375,1.7523e-08
83.73,1.0,156.9966109375,1.746125e-08
83.73,1.0,156.9963609375,1.7490900000000002e-08
83.73,1.0,156.99611093750002,1.73708e-08
83.73,1.0,156.9958609375,1.735975e-08
83.73,1.0,156.9956109375,1.74584e-08
83.73,0.0,156.9953609375,1.73101e-08
83.73,0.0,156.99511093750002,1.719315e-08
83.73,1.0,156.99486093750002,1.715935e-08
83.73,1.0,156.9946109375,1.71905e-08
83.73,1.0,156.9943609375,1.71158e-08
83.73,1.0,156.9941109375,1.7048250000000002e-08
83.73,1.0,156.99386093750002,1.71034e-08
83.73,1.0,156.99361093750002,1.70138e-08
83.73,1.0,156.9933609375,1.70117e-08
83.73,1.0,156.9931109375,1.71071e-08
83.73,1.0,156.9928609375,1.70177e-08
83.73,1.0,156.99261093750002,1.7034949999999997e-08
83.73,0.0,156.99236093750002,1.69216e-08
83.73,1.0,156.9921109375,1.6938600000000002e-08
83.73,1.0,156.9918609375,1.6834700000000002e-08
83.73,1.0,156.9916109375,1.6866050000000003e-08
83.73,0.0,156.99136093750002,1.68416e-08
83.73,1.0,156.9911109375,1.67362e-08
83.73,1.0,156.9908609375,1.68597e-08
83.73,1.0,156.9906109375,1.6729700000000002e-08
83.73,0.0,156.9903609375,1.66686e-08
83.73,1.0,156.99011093750002,1.6669299999999998e-08
83.73,1.0,156.9898609375,1.658585e-08
83.73,1.0,156.9896109375,1.645325e-08
83.73,0.0,156.9893609375,1.639175e-08
83.73,1.0,156.98911093750002,1.633315e-08
83.73,1.0,156.98886093750002,1.62891e-08
