Y_dimension(mm),Button,True_depth(m),meas
18.0,0.0,0.1975265625,1.48703e-08
18.0,0.0,0.1972765625,1.48665e-08
18.0,0.0,0.1970265625,1.46558e-08
18.0,0.0,0.1967765625,1.45842e-08
18.0,0.0,0.1965265625,1.46195e-08
18.0,0.0,0.1962765625,1.45214e-08
18.0,0.0,0.1960265625,1.4390900000000001e-08
18.0,0.0,0.1957765625,1.43093e-08
18.0,0.0,0.1955265625,1.42391e-08
18.0,0.0,0.1952765625,1.42552e-08
18.0,0.0,0.1950265625,1.43394e-08
18.0,0.0,0.1947765625,1.44881e-08
18.0,0.0,0.1945265625,1.42163e-08
18.0,0.0,0.1942765625,1.42238e-08
18.0,0.0,0.1940265625,1.435595e-08
18.0,0.0,0.1937765625,1.42044e-08
18.0,0.0,0.1935265625,1.432435e-08
18.0,0.0,0.1932765625,1.42638e-08
18.0,0.0,0.1930265625,1.41245e-08
18.0,0.0,0.1927765625,1.404215e-08
18.0,0.0,0.1925265625,1.40531e-08
18.0,0.0,0.1922765625,1.41281e-08
18.0,0.0,0.1920265625,1.39736e-08
18.0,0.0,0.19177656250000003,1.3951e-08
18.0,0.0,0.19152656250000002,1.38795e-08
18.0,0.0,0.19127656250000002,1.37661e-08
18.0,0.0,0.19102656250000002,1.37517e-08
18.0,0.0,0.19077656250000002,1.34696e-08
18.0,0.0,0.19052656250000002,1.366405e-08
18.0,0.0,0.19027656250000002,1.39383e-08
18.0,0.0,0.19002656250000002,1.370375e-08
18.0,0.0,0.18977656250000002,1.35866e-08
18.0,0.0,0.18952656250000002,1.364685e-08
18.0,0.0,0.18927656250000002,1.36024e-08
18.0,0.0,0.18902656250000002,1.35926e-08
18.0,0.0,0.18877656250000002,1.3642e-08
18.0,0.0,0.18852656250000002,1.35196e-08
18.0,0.0,0.18827656250000002,1.34697e-08
18.0,0.0,0.18802656250000002,1.36492e-08
18.0,0.0,0.18777656250000002,1.3487e-08
18.0,0.0,0.18752656250000002,1.362985e-08
18.0,0.0,0.18727656250000002,1.352445e-08
18.0,0.0,0.18702656250000002,1.34624e-08
18.0,0.0,0.18677656250000002,1.35286e-08
18.0,0.0,0.18652656250000002,1.36019e-08
18.0,0.0,0.18627656250000002,1.352225e-08
18.0,0.0,0.18602656250000002,1.37369e-08
18.0,0.0,0.18577656250000002,1.36124e-08
18.0,0.0,0.18552656250000002,1.342935e-08
18.0,0.0,0.18527656250000002,1.3542e-08
18.0,0.0,0.18502656250000002,1.33363e-08
18.0,0.0,0.18477656250000002,1.35268e-08
18.0,0.0,0.18452656250000002,1.34811e-08
18.0,0.0,0.18427656250000002,1.34304e-08
18.0,0.0,0.18402656250000002,1.350645e-08
18.0,0.0,0.18377656250000002,1.33812e-08
18.0,0.0,0.18352656250000002,1.32763e-08
18.0,0.0,0.18327656250000002,1.35139e-08
18.0,0.0,0.18302656250000002,1.34506e-08
18.0,0.0,0.18277656250000002,1.34281e-08
18.0,0.0,0.18252656250000002,1.34966e-08
18.0,0.0,0.18227656250000002,1.35422e-08
18.0,0.0,0.18202656250000002,1.35331e-08
18.0,0.0,0.18177656250000002,1.34969e-08
18.0,0.0,0.18152656250000002,1.33894e-08
18.0,0.0,0.18127656250000002,1.342975e-08
18.0,0.0,0.18102656250000002,1.33457e-08
18.0,0.0,0.18077656250000002,1.350665e-08
18.0,0.0,0.18052656250000002,1.328605e-08
18.0,0.0,0.18027656250000001,1.34977e-08
18.0,0.0,0.18002656250000001,1.34534e-08
18.0,0.0,0.17977656250000001,1.348845e-08
18.0,0.0,0.17952656250000001,1.348905e-08
18.0,0.0,0.17927656250000001,1.3381e-08
18.0,0.0,0.1790265625,1.34807e-08
18.0,0.0,0.1787765625,1.34696e-08
18.0,0.0,0.1785265625,1.34764e-08
18.0,0.0,0.1782765625,1.35409e-08
18.0,0.0,0.1780265625,1.36012e-08
18.0,0.0,0.1777765625,1.35734e-08
18.0,0.0,0.1775265625,1.36938e-08
18.0,0.0,0.1772765625,1.36288e-08
18.0,0.0,0.1770265625,1.35588e-08
18.0,0.0,0.1767765625,1.349065e-08
18.0,0.0,0.1765265625,1.35737e-08
18.0,0.0,0.1762765625,1.36007e-08
18.0,0.0,0.1760265625,1.35291e-08
18.0,0.0,0.1757765625,1.36277e-08
18.0,0.0,0.1755265625,1.36411e-08
18.0,0.0,0.1752765625,1.35216e-08
18.0,0.0,0.1750265625,1.37108e-08
18.0,0.0,0.1747765625,1.36949e-08
18.0,0.0,0.1745265625,1.361675e-08
18.0,0.0,0.1742765625,1.372425e-08
18.0,0.0,0.1740265625,1.37142e-08
18.0,0.0,0.1737765625,1.3747e-08
18.0,0.0,0.1735265625,1.35968e-08
18.0,0.0,0.1732765625,1.36993e-08
18.0,0.0,0.1730265625,1.38307e-08
18.0,0.0,0.1727765625,1.37302e-08
18.0,0.0,0.1725265625,1.35928e-08
18.0,0.0,0.1722765625,1.37457e-08
18.0,0.0,0.1720265625,1.37193e-08
18.0,0.0,0.1717765625,1.37414e-08
18.0,0.0,0.1715265625,1.37576e-08
18.0,0.0,0.1712765625,1.3797500000000002e-08
18.0,0.0,0.1710265625,1.38408e-08
18.0,0.0,0.1707765625,1.39132e-08
18.0,0.0,0.1705265625,1.383675e-08
18.0,0.0,0.1702765625,1.392685e-08
18.0,0.0,0.1700265625,1.38596e-08
18.0,0.0,0.1697765625,1.388315e-08
18.0,0.0,0.1695265625,1.37842e-08
18.0,0.0,0.1692765625,1.37716e-08
18.0,0.0,0.1690265625,1.37971e-08
18.0,0.0,0.1687765625,1.39929e-08
18.0,0.0,0.1685265625,1.396865e-08
18.0,0.0,0.1682765625,1.42231e-08
18.0,0.0,0.1680265625,1.40991e-08
18.0,0.0,0.1677765625,1.4016300000000001e-08
18.0,0.0,0.1675265625,1.41951e-08
18.0,0.0,0.1672765625,1.39817e-08
18.0,0.0,0.1670265625,1.41187e-08
18.0,0.0,0.1667765625,1.409235e-08
18.0,0.0,0.1665265625,1.41516e-08
18.0,0.0,0.1662765625,1.37426e-08
18.0,0.0,0.1660265625,1.37533e-08
18.0,0.0,0.1657765625,1.39471e-08
18.0,0.0,0.1655265625,1.4095050000000001e-08
18.0,0.0,0.1652765625,1.3999350000000001e-08
18.0,0.0,0.1650265625,1.40611e-08
18.0,0.0,0.1647765625,1.407435e-08
18.0,0.0,0.1645265625,1.40608e-08
18.0,0.0,0.1642765625,1.4147550000000001e-08
18.0,0.0,0.1640265625,1.40408e-08
18.0,0.0,0.1637765625,1.404545e-08
18.0,0.0,0.1635265625,1.40199e-08
18.0,0.0,0.1632765625,1.40593e-08
18.0,0.0,0.1630265625,1.42323e-08
18.0,0.0,0.1627765625,1.419655e-08
18.0,0.0,0.1625265625,1.4141800000000001e-08
18.0,0.0,0.1622765625,1.42558e-08
