Y_dimension(mm),Button,True_depth(m),meas
6.048,0.0,157.03620625000002,2.54251e-09
6.048,0.0,157.03595625,2.61086e-09
6.048,0.0,157.03570625,2.5292149999999997e-09
6.048,0.0,157.03545625,2.597695e-09
6.048,0.0,157.03520625000002,3.01125e-09
6.048,0.0,157.03495625000002,2.66302e-09
6.048,0.0,157.03470625,2.50028e-09
6.048,0.0,157.03445625,2.6747499999999997e-09
6.048,0.0,157.03420625,2.96992e-09
6.048,0.0,157.03395625000002,3.401195e-09
6.048,0.0,157.03370625000002,3.460965e-09
6.048,0.0,157.03345625,4.11175e-09
6.048,0.0,157.03320625,3.847935e-09
6.048,0.0,157.03295625,3.93849e-09
6.048,0.0,157.03270625000002,4.26507e-09
6.048,0.0,157.03245625000002,4.363935e-09
6.048,0.0,157.03220625,4.77068e-09
6.048,0.0,157.03195625,4.911195e-09
6.048,0.0,157.03170625,5.23802e-09
6.048,0.0,157.03145625000002,5.76787e-09
6.048,0.0,157.03120625,5.6572700000000015e-09
6.048,0.0,157.03095625,6.11425e-09
6.048,0.0,157.03070625,6.447205e-09
6.048,0.0,157.03045625000001,6.9199149999999995e-09
6.048,0.0,157.03020625000002,7.24215e-09
6.048,0.0,157.02995625,7.797635000000001e-09
6.048,0.0,157.02970625,8.05098e-09
6.048,0.0,157.02945625,8.75182e-09
6.048,0.0,157.02920625000002,8.681865e-09
6.048,0.0,157.02895625000002,9.51506e-09
6.048,0.0,157.02870625,9.713725e-09
6.048,0.0,157.02845625,1.02438e-08
6.048,0.0,157.02820625,1.07466e-08
6.048,0.0,157.02795625000002,1.10862e-08
6.048,0.0,157.02770625000002,1.140625e-08
6.048,0.0,157.02745625,1.16816e-08
6.048,0.0,157.02720625,1.2075e-08
6.048,0.0,157.02695625,1.284995e-08
6.048,0.0,157.02670625000002,1.38449e-08
6.048,0.0,157.02645625000002,1.47987e-08
6.048,0.0,157.02620625,1.48753e-08
6.048,0.0,157.02595625,1.620675e-08
6.048,0.0,157.02570625,1.6624499999999998e-08
6.048,0.0,157.02545625000002,1.7517e-08
6.048,0.0,157.02520625,1.892955e-08
6.048,0.0,157.02495625,1.91061e-08
6.048,0.0,157.02470625,2.008385e-08
6.048,0.0,157.02445625000001,2.072845e-08
6.048,0.0,157.02420625000002,2.0026e-08
6.048,0.0,157.02395625,2.067915e-08
6.048,0.0,157.02370625,2.18372e-08
6.048,0.0,157.02345625,2.20468e-08
6.048,0.0,157.02320625000002,2.26975e-08
6.048,0.0,157.02295625000002,2.20962e-08
6.048,0.0,157.02270625,2.191365e-08
6.048,0.0,157.02245625,2.2318e-08
6.048,0.0,157.02220625,2.26624e-08
6.048,0.0,157.02195625000002,2.25267e-08
6.048,0.0,157.02170625000002,2.27129e-08
6.048,0.0,157.02145625,2.221895e-08
6.048,0.0,157.02120625,2.24214e-08
6.048,0.0,157.02095625,2.26148e-08
6.048,0.0,157.02070625000002,2.260265e-08
6.048,0.0,157.02045625000002,2.25844e-08
6.048,0.0,157.02020625,2.249785e-08
6.048,0.0,157.01995625,2.20731e-08
6.048,0.0,157.01970625,2.261285e-08
6.048,0.0,157.01945625000002,2.24167e-08
6.048,0.0,157.01920625,2.25051e-08
6.048,0.0,157.01895625,2.214695e-08
6.048,0.0,157.01870625,2.239675e-08
6.048,0.0,157.01845625,2.26557e-08
6.048,0.0,157.01820625000002,2.24777e-08
6.048,0.0,157.01795625,2.15037e-08
6.048,0.0,157.01770625,2.2369e-08
6.048,0.0,157.01745625,2.21661e-08
6.048,0.0,157.01720625000002,2.211475e-08
6.048,0.0,157.01695625000002,2.1892750000000006e-08
6.048,0.0,157.01670625,2.1392e-08
6.048,0.0,157.01645625,2.20294e-08
6.048,0.0,157.01620625,2.206325e-08
6.048,0.0,157.01595625000002,2.1186750000000003e-08
6.048,0.0,157.01570625000002,2.176725e-08
6.048,0.0,157.01545625,2.16509e-08
6.048,0.0,157.01520625,2.16015e-08
6.048,0.0,157.01495625,2.16021e-08
6.048,0.0,157.01470625000002,2.162305e-08
6.048,0.0,157.01445625000002,2.16275e-08
6.048,0.0,157.01420625,2.182435e-08
6.048,0.0,157.01395625,2.115575e-08
6.048,0.0,157.01370625,2.1295e-08
6.048,0.0,157.01345625000002,2.11273e-08
6.048,0.0,157.01320625,2.08452e-08
6.048,0.0,157.01295625,2.102505e-08
6.048,0.0,157.01270625,2.112515e-08
6.048,0.0,157.01245625,2.12363e-08
6.048,0.0,157.01220625000002,2.07204e-08
6.048,0.0,157.01195625,2.11463e-08
6.048,0.0,157.01170625,2.013425e-08
6.048,0.0,157.01145625,2.09447e-08
6.048,0.0,157.01120625000001,2.085915e-08
6.048,0.0,157.01095625000002,2.05146e-08
6.048,0.0,157.01070625,2.05162e-08
6.048,0.0,157.01045625,2.06134e-08
6.048,0.0,157.01020625,2.02097e-08
6.048,0.0,157.00995625000002,1.993805e-08
6.048,0.0,157.00970625000002,1.9938850000000006e-08
6.048,0.0,157.00945625,2.0364e-08
6.048,0.0,157.00920625,1.972665e-08
6.048,0.0,157.00895625,1.98869e-08
6.048,0.0,157.00870625000002,1.99902e-08
6.048,0.0,157.00845625000002,1.95619e-08
6.048,0.0,157.00820625,1.957345e-08
6.048,0.0,157.00795625,1.957145e-08
6.048,0.0,157.00770625,1.93217e-08
6.048,0.0,157.00745625000002,1.93993e-08
6.048,0.0,157.00720625000002,1.943965e-08
6.048,0.0,157.00695625,1.931915e-08
6.048,0.0,157.00670625,1.955115e-08
6.048,0.0,157.00645625,1.8424e-08
6.048,0.0,157.00620625000002,1.937215e-08
6.048,0.0,157.00595625,1.953825e-08
6.048,0.0,157.00570625,1.97639e-08
6.048,0.0,157.00545625,1.92847e-08
6.048,0.0,157.00520625000001,1.92336e-08
6.048,0.0,157.00495625000002,1.926825e-08
6.048,0.0,157.00470625,1.89179e-08
6.048,0.0,157.00445625,1.93883e-08
6.048,0.0,157.00420625,1.927905e-08
6.048,0.0,157.00395625000002,1.88376e-08
6.048,0.0,157.00370625000002,1.95567e-08
6.048,0.0,157.00345625,1.9057e-08
6.048,0.0,157.00320625,1.95615e-08
6.048,0.0,157.00295625,1.92162e-08
6.048,0.0,157.00270625000002,1.97575e-08
6.048,0.0,157.00245625000002,1.915435e-08
6.048,0.0,157.00220625,1.900365e-08
6.048,0.0,157.00195625,1.94437e-08
6.048,0.0,157.00170625,1.93662e-08
6.048,0.0,157.00145625000002,1.85857e-08
6.048,0.0,157.00120625000002,1.907945e-08
6.048,0.0,157.00095625,1.879735e-08
6.048,0.0,157.00070625,1.8959e-08
6.048,0.0,157.00045625,1.900615e-08
6.048,0.0,157.00020625000002,1.870775e-08
6.048,0.0,156.99995625,1.869245e-08
6.048,0.0,156.99970625,1.8043e-08
6.048,0.0,156.99945625,1.865445e-08
6.048,0.0,156.99920625000001,1.87783e-08
6.048,0.0,156.99895625000002,1.86292e-08
6.048,0.0,156.99870625,1.86485e-08
6.048,0.0,156.99845625,1.792e-08
6.048,0.0,156.99820625,1.865865e-08
6.048,0.0,156.99795625000002,1.7804949999999997e-08
6.048,0.0,156.99770625000002,1.92037e-08
6.048,0.0,156.99745625,1.85805e-08
6.048,0.0,156.99720625,1.81335e-08
6.048,0.0,156.99695625,1.85219e-08
6.048,0.0,156.99670625000002,1.840695e-08
6.048,0.0,156.99645625000002,1.79322e-08
6.048,0.0,156.99620625,1.85237e-08
6.048,0.0,156.99595625,1.826755e-08
6.048,0.0,156.99570625,1.85217e-08
6.048,0.0,156.99545625000002,1.83519e-08
6.048,0.0,156.99520625000002,1.85207e-08
6.048,1.0,156.99495625,1.838205e-08
6.048,0.0,156.99470625,1.83982e-08
6.048,0.0,156.99445625,1.832225e-08
6.048,1.0,156.99420625000002,1.84412e-08
6.048,1.0,156.99395625,1.84043e-08
6.048,0.0,156.99370625,1.841725e-08
6.048,0.0,156.99345625,1.847095e-08
6.048,1.0,156.99320625000001,1.84257e-08
6.048,1.0,156.99295625000002,1.81616e-08
6.048,0.0,156.99270625,1.82465e-08
6.048,0.0,156.99245625,1.7822050000000002e-08
6.048,0.0,156.99220625,1.818845e-08
6.048,0.0,156.99195625000002,1.8326e-08
6.048,0.0,156.99170625000002,1.80133e-08
6.048,0.0,156.99145625,1.80965e-08
6.048,0.0,156.99120625,1.82214e-08
6.048,0.0,156.99095625,1.79896e-08
6.048,0.0,156.99070625000002,1.83678e-08
6.048,0.0,156.99045625000002,1.79301e-08
6.048,0.0,156.99020625,1.798505e-08
6.048,0.0,156.98995625,1.7859049999999997e-08
6.048,0.0,156.98970625,1.81962e-08
6.048,0.0,156.98945625000002,1.81311e-08
6.048,0.0,156.98920625000002,1.789935e-08
6.048,0.0,156.98895625,1.80776e-08
6.048,0.0,156.98870625,1.81235e-08
6.048,0.0,156.98845625,1.80021e-08
6.048,0.0,156.98820625000002,1.80147e-08
6.048,0.0,156.98795625,1.783635e-08
6.048,0.0,156.98770625,1.80856e-08
6.048,0.0,156.98745625,1.870125e-08
6.048,0.0,156.98720625,1.7711300000000002e-08
6.048,0.0,156.98695625000002,1.82704e-08
6.048,0.0,156.98670625,1.86272e-08
6.048,0.0,156.98645625,1.812295e-08
6.048,0.0,156.98620625,1.83361e-08
6.048,0.0,156.98595625000002,1.85684e-08
6.048,0.0,156.98570625000002,1.81387e-08
6.048,0.0,156.98545625,1.8301300000000006e-08
6.048,0.0,156.98520625,1.83168e-08
6.048,0.0,156.98495625,1.807145e-08
6.048,0.0,156.98470625000002,1.8373e-08
6.048,0.0,156.98445625000002,1.783095e-08
6.048,0.0,156.98420625,1.82313e-08
6.048,0.0,156.98395625,1.77703e-08
6.048,0.0,156.98370625,1.825025e-08
6.048,0.0,156.98345625000002,1.828945e-08
6.048,0.0,156.98320625000002,1.90156e-08
6.048,0.0,156.98295625,1.845485e-08
6.048,0.0,156.98270625,1.842955e-08
6.048,0.0,156.98245625,1.83773e-08
6.048,0.0,156.98220625000002,1.86974e-08
6.048,0.0,156.98195625,1.820895e-08
6.048,0.0,156.98170625,1.82768e-08
6.048,0.0,156.98145625,1.86053e-08
6.048,0.0,156.98120625,1.8441900000000002e-08
6.048,0.0,156.98095625000002,1.84422e-08
6.048,0.0,156.98070625,1.84427e-08
6.048,0.0,156.98045625,1.857185e-08
6.048,0.0,156.98020625,1.84174e-08
6.048,0.0,156.97995625000001,1.83608e-08
6.048,0.0,156.97970625000002,1.86714e-08
6.048,0.0,156.97945625,1.85245e-08
6.048,0.0,156.97920625,1.8349e-08
6.048,0.0,156.97895625,1.86692e-08
6.048,0.0,156.97870625000002,1.85929e-08
6.048,0.0,156.97845625000002,1.85941e-08
6.048,0.0,156.97820625,1.86474e-08
6.048,0.0,156.97795625,1.8885e-08
6.048,0.0,156.97770625,1.87372e-08
6.048,0.0,156.97745625000002,1.86465e-08
6.048,0.0,156.97720625000002,1.895935e-08
6.048,0.0,156.97695625,1.85705e-08
6.048,0.0,156.97670625,1.903995e-08
6.048,0.0,156.97645625,1.916505e-08
6.048,0.0,156.97620625000002,1.92886e-08
6.048,0.0,156.97595625000002,1.90713e-08
6.048,0.0,156.97570625,1.93241e-08
6.048,0.0,156.97545625,1.89693e-08
6.048,0.0,156.97520625,1.90283e-08
6.048,0.0,156.97495625000002,1.89971e-08
6.048,0.0,156.97470625,1.913055e-08
6.048,0.0,156.97445625,1.9061e-08
6.048,0.0,156.97420625,1.92151e-08
6.048,0.0,156.97395625000001,1.91409e-08
6.048,0.0,156.97370625000002,2.029145e-08
6.048,0.0,156.97345625,1.95492e-08
6.048,0.0,156.97320625,1.91886e-08
6.048,0.0,156.97295625,1.96016e-08
6.048,0.0,156.97270625000002,1.9101e-08
6.048,0.0,156.97245625000002,1.87081e-08
6.048,0.0,156.97220625,1.9332e-08
6.048,0.0,156.97195625,1.89799e-08
6.048,0.0,156.97170625,1.935695e-08
6.048,0.0,156.97145625000002,1.93843e-08
6.048,0.0,156.97120625000002,1.92012e-08
6.048,0.0,156.97095625,1.90582e-08
6.048,0.0,156.97070625,1.94171e-08
6.048,0.0,156.97045625,1.96024e-08
6.048,0.0,156.97020625000002,1.942645e-08
6.048,0.0,156.96995625000002,1.9541e-08
6.048,0.0,156.96970625,1.94115e-08
6.048,0.0,156.96945625,1.90208e-08
6.048,0.0,156.96920625,1.892325e-08
6.048,0.0,156.96895625000002,1.91374e-08
6.048,0.0,156.96870625,1.957995e-08
6.048,0.0,156.96845625,1.95996e-08
6.048,0.0,156.96820625,1.97765e-08
6.048,0.0,156.96795625000001,1.88034e-08
6.048,0.0,156.96770625000002,1.946255e-08
6.048,0.0,156.96745625,1.89967e-08
6.048,0.0,156.96720625,1.945545e-08
6.048,0.0,156.96695625,1.91236e-08
6.048,0.0,156.96670625000002,1.93155e-08
6.048,0.0,156.96645625000002,1.925125e-08
6.048,0.0,156.96620625,1.93449e-08
6.048,0.0,156.96595625,1.93031e-08
6.048,0.0,156.96570625,1.9232e-08
6.048,0.0,156.96545625000002,1.963655e-08
6.048,0.0,156.96520625000002,1.954655e-08
6.048,0.0,156.96495625,1.94411e-08
6.048,0.0,156.96470625,1.946945e-08
6.048,0.0,156.96445625,1.94476e-08
6.048,0.0,156.96420625000002,1.99362e-08
6.048,0.0,156.96395625000002,1.909295e-08
