Y_dimension(mm),Button,True_depth(m),meas
4.92,0.0,157.02482968750002,2.27978e-05
4.92,0.0,157.02482968750002,-3.598878e-06
4.92,0.0,157.0247082484596,-2.622022e-06
4.92,0.0,157.02458535026688,-2.013214e-06
4.92,0.0,157.0243835516321,-1.552311e-06
4.92,0.0,157.02416454560915,-1.197506e-06
4.92,0.0,157.02389737089,-9.185896e-07
4.92,0.0,157.0236047123477,-6.99365e-07
4.92,0.0,157.02324193474044,-5.347101e-07
4.92,0.0,157.02287535944353,-3.996829e-07
4.92,0.0,157.02246881319292,-3.007735e-07
4.92,0.0,157.0220584818423,-2.263114e-07
4.92,0.0,157.02163192684876,-1.661974e-07
4.92,0.0,157.0212226805754,-1.269364e-07
4.92,0.0,157.02078368360134,-9.183714e-08
4.92,0.0,157.0203653388304,-6.53381e-08
4.92,0.0,157.01995726912492,-4.611502e-08
4.92,0.0,157.01953178383366,-2.789602e-08
4.92,0.0,157.01910281954795,-1.204899e-08
4.92,0.0,157.01869638882982,-5.282345e-09
4.92,0.0,157.0182456120489,2.895831e-09
4.92,0.0,157.017818624733,8.367351e-09
4.92,0.0,157.01742177333912,1.324224e-08
4.92,0.0,157.01699836652864,1.378066e-08
4.92,0.0,157.01660519325392,1.834997e-08
4.92,0.0,157.0161677004303,2.195884e-08
4.92,0.0,157.01574349722213,2.006709e-08
4.92,0.0,157.01532602021433,2.328306e-08
4.92,0.0,157.01491330704522,2.191518e-08
4.92,0.0,157.0145104590107,2.070738e-08
4.92,0.0,157.0140805075494,2.152228e-08
4.92,0.0,157.01367464647893,1.916487e-08
4.92,0.0,157.01326095956657,1.82481e-08
4.92,0.0,157.01283468759863,2.270099e-08
4.92,0.0,157.0124227800508,2.460729e-08
4.92,0.0,157.01202125395454,2.46946e-08
4.92,0.0,157.0115943739886,2.451998e-08
4.92,0.0,157.01118784859287,2.603338e-08
4.92,0.0,157.01074255351162,2.658635e-08
4.92,0.0,157.0103518981464,2.323941e-08
4.92,0.0,157.0099208498716,2.162415e-08
4.92,0.0,157.00949805900507,2.753222e-08
4.92,0.0,157.0091054689938,2.491288e-08
4.92,0.0,157.0086660703195,2.449087e-08
4.92,0.0,157.00824920029655,2.664456e-08
4.92,0.0,157.00780565103383,2.47237e-08
4.92,0.0,157.007397773341,2.107117e-08
4.92,0.0,157.00697108090574,2.645538e-08
4.92,0.0,157.00654419270234,2.630986e-08
4.92,0.0,157.00614605684115,2.761954e-08
4.92,0.0,157.0057123065209,2.331217e-08
4.92,0.0,157.00530523860525,2.171146e-08
4.92,0.0,157.00487682216644,2.69356e-08
4.92,0.0,157.004488627098,2.302113e-08
4.92,0.0,157.0040611472381,2.686284e-08
4.92,0.0,157.0036593532958,2.3967e-08
4.92,0.0,157.00324371683257,2.537854e-08
4.92,0.0,157.0027992084247,2.566958e-08
4.92,0.0,157.00238752521767,2.178422e-08
4.92,0.0,157.00197823679713,2.246816e-08
4.92,0.0,157.0015701541456,2.3967e-08
4.92,0.0,157.00116616833526,2.27883e-08
4.92,0.0,157.00072812851303,2.575689e-08
4.92,0.0,157.00032564370022,2.73285e-08
4.92,0.0,156.99989507106545,2.523302e-08
4.92,0.0,156.99946643284824,2.028537e-08
4.92,0.0,156.99903801458572,2.210436e-08
4.92,0.0,156.9986478666093,2.613524e-08
4.92,0.0,156.998192346444,2.207526e-08
4.92,0.0,156.99776460396816,2.185698e-08
4.92,0.0,156.99733861605918,2.382149e-08
4.92,0.0,156.99694411509083,1.931039e-08
4.92,0.0,156.99650977650086,2.227898e-08
4.92,0.0,156.99611750196775,2.713932e-08
4.92,0.0,156.99569762982148,3.03844e-08
4.92,0.0,156.99527891454971,3.07482e-08
4.92,0.0,156.99484326363864,2.809975e-08
4.92,0.0,156.9944487481869,2.35159e-08
4.92,0.0,156.99402243995203,2.594606e-08
4.92,0.0,156.99362627741925,2.300658e-08
4.92,0.0,156.99320439450403,2.798333e-08
4.92,0.0,156.99277819250472,2.745946e-08
4.92,0.0,156.99235226025942,2.35159e-08
4.92,0.0,156.99196399487343,2.497109e-08
4.92,0.0,156.99153575698014,2.834713e-08
4.92,0.0,156.99110882404864,2.713932e-08
4.92,0.0,156.99070476064318,2.6208e-08
4.92,0.0,156.9902670734599,2.673187e-08
4.92,0.0,156.98986708773128,2.792513e-08
4.92,0.0,156.98943782768043,2.782326e-08
4.92,0.0,156.9890416396793,2.578599e-08
4.92,0.0,156.9886145183833,2.385059e-08
4.92,0.0,156.98817528300498,2.131856e-08
4.92,0.0,156.9877453995655,2.673187e-08
4.92,0.0,156.98730826131597,2.612069e-08
4.92,0.0,156.98691824319476,2.661545e-08
4.92,0.0,156.98648949748025,2.532033e-08
4.92,0.0,156.98606792380346,2.299203e-08
4.92,0.0,156.985669406802,2.31812e-08
4.92,0.0,156.98523209512197,2.226443e-08
4.92,0.0,156.98482767780825,1.805893e-08
4.92,0.0,156.98439856767772,1.899025e-08
4.92,0.0,156.9840096923695,2.305023e-08
4.92,0.0,156.98358033167082,2.3545e-08
4.92,0.0,156.9831653219875,2.208981e-08
4.92,0.0,156.9827621678559,2.371962e-08
4.92,0.0,156.98233177823855,2.3967e-08
4.92,0.0,156.9819334439513,1.852459e-08
4.92,0.0,156.98150866115995,2.073648e-08
4.92,0.0,156.98111473788995,1.891749e-08
4.92,0.0,156.98067791977235,1.86119e-08
4.92,0.0,156.98026478331738,2.398156e-08
4.92,0.0,156.97983832590654,2.267188e-08
4.92,0.0,156.9794093170711,2.35159e-08
4.92,0.0,156.9789812054275,2.152228e-08
4.92,0.0,156.97855393704552,2.274464e-08
4.92,0.0,156.97815398022658,2.478191e-08
4.92,0.0,156.97771087091868,2.594606e-08
4.92,0.0,156.97730636205313,2.169691e-08
4.92,0.0,156.97688147168338,2.428715e-08
4.92,0.0,156.97645401139582,1.954322e-08
4.92,0.0,156.97605907366275,2.47237e-08
4.92,0.0,156.9756298951701,2.460729e-08
4.92,0.0,156.97521253268673,2.265733e-08
4.92,0.0,156.97478995419374,2.35741e-08
4.92,0.0,156.9743914007925,2.075103e-08
4.92,0.0,156.9739618028727,2.651359e-08
4.92,0.0,156.97357063382677,2.379238e-08
4.92,0.0,156.97313809998093,2.632441e-08
4.92,0.0,156.97272085315925,2.240995e-08
4.92,0.0,156.9722940359345,2.527668e-08
4.92,0.0,156.97187062574963,2.229353e-08
4.92,0.0,156.97147328645502,2.092565e-08
4.92,0.0,156.97104350045558,2.307934e-08
4.92,0.0,156.97064137981272,2.293382e-08
4.92,0.0,156.970219513822,2.338493e-08
4.92,0.0,156.96979959028772,2.50584e-08
4.92,0.0,156.96936666643236,2.3967e-08
4.92,0.0,156.96895811391778,2.146407e-08
4.92,0.0,156.9685286715965,2.230809e-08
4.92,0.0,156.96813327685246,2.387969e-08
4.92,0.0,156.9676966486827,2.251181e-08
4.92,0.0,156.9672595676196,2.064917e-08
4.92,0.0,156.96682314660234,2.190063e-08
4.92,0.0,156.96643191174084,1.995068e-08
4.92,0.0,156.96600739546042,2.530578e-08
4.92,0.0,156.9655831559269,2.332672e-08
4.92,0.0,156.96517807534482,2.293382e-08
4.92,0.0,156.96476428878762,2.224988e-08
4.92,0.0,156.9643190323083,2.299203e-08
4.92,0.0,156.9639433745311,2.181332e-08
4.92,0.0,156.96355187556898,2.255547e-08
4.92,0.0,156.96312276452107,2.296292e-08
4.92,0.0,156.9627026384901,2.361776e-08
4.92,0.0,156.9622834111878,1.992157e-08
4.92,0.0,156.96185769884536,2.293382e-08
4.92,0.0,156.96144568701447,2.075103e-08
4.92,0.0,156.96104371932253,2.128945e-08
4.92,0.0,156.96059633597034,2.184242e-08
4.92,0.0,156.9601890733056,2.235174e-08
4.92,0.0,156.95976977246866,2.360321e-08
4.92,0.0,156.9593353525057,1.925218e-08
4.92,0.0,156.9589262981768,2.207526e-08
4.92,0.0,156.95852258636623,2.12749e-08
4.92,0.0,156.95809928907295,2.174056e-08
4.92,0.0,156.95766064585186,2.405432e-08
4.92,0.0,156.9572192056641,2.291927e-08
4.92,0.0,156.95682346530364,2.305023e-08
4.92,0.0,156.9563781366801,2.144952e-08
4.92,0.0,156.95598742820098,2.296292e-08
4.92,0.0,156.95557274639734,2.271554e-08
4.92,0.0,156.95516816482308,2.092565e-08
4.92,0.0,156.95472547603384,2.083834e-08
4.92,0.0,156.95432656817445,2.261368e-08
4.92,0.0,156.95389377744448,2.326851e-08
4.92,0.0,156.95349875446797,2.056186e-08
4.92,0.0,156.9530840711992,2.1304e-08
4.92,0.0,156.95264173696447,2.232264e-08
4.92,0.0,156.95224091222593,2.395245e-08
4.92,0.0,156.9518373899451,2.35159e-08
4.92,0.0,156.9514091883131,1.906301e-08
4.92,0.0,156.9510007209127,2.329762e-08
4.92,0.0,156.95059093436004,2.277375e-08
4.92,0.0,156.95016335451896,2.222077e-08
4.92,0.0,156.94973743009072,2.040179e-08
4.92,0.0,156.94930971147429,2.366141e-08
4.92,0.0,156.9488889065968,2.35741e-08
4.92,0.0,156.94847664783225,2.131856e-08
4.92,0.0,156.94806502728153,1.910666e-08
4.92,0.0,156.94763845567388,2.112938e-08
4.92,0.0,156.9472112516605,2.232264e-08
4.92,0.0,156.9467849090659,2.310844e-08
4.92,0.0,156.9463593802742,2.064917e-08
4.92,0.0,156.94595301046309,2.060551e-08
4.92,0.0,156.94554191628887,1.93977e-08
4.92,0.0,156.94511026870993,2.284651e-08
4.92,0.0,156.94469631948002,2.274464e-08
4.92,0.0,156.94429194845972,2.114393e-08
4.92,0.0,156.9438671510453,2.398156e-08
4.92,0.0,156.9434800796179,2.053275e-08
4.92,0.0,156.9430479432849,2.150773e-08
4.92,0.0,156.9426428045472,1.833541e-08
4.92,0.0,156.94221385001146,1.503213e-08
4.92,0.0,156.94179787493445,2.137676e-08
4.92,0.0,156.94137114810923,1.766603e-08
4.92,0.0,156.9409747905773,2.117304e-08
4.92,0.0,156.9405491668614,1.776789e-08
4.92,0.0,156.94014742556948,1.523586e-08
4.92,0.0,156.93970964152982,1.955777e-08
4.92,0.0,156.93927094809538,2.171146e-08
4.92,0.0,156.9388727961017,2.27592e-08
4.92,0.0,156.93844259377445,2.037268e-08
4.92,0.0,156.93801846462756,1.93395e-08
4.92,0.0,156.93759278977018,1.890294e-08
4.92,0.0,156.93718620907518,2.341403e-08
4.92,0.0,156.93674951571006,2.47237e-08
4.92,0.0,156.93635145772672,2.31812e-08
4.92,0.0,156.9359249592841,2.630986e-08
4.92,0.0,156.93552655244818,2.23954e-08
4.92,0.0,156.93510204383892,2.539309e-08
4.92,0.0,156.93467603153118,2.277375e-08
4.92,0.0,156.93425954236008,2.569868e-08
4.92,0.0,156.93386184761025,2.079469e-08
4.92,0.0,156.93343350255006,2.207526e-08
4.92,0.0,156.93300372052914,2.454908e-08
4.92,0.0,156.9326084868941,2.201705e-08
4.92,0.0,156.9321830872018,2.385059e-08
4.92,0.0,156.93176659189115,2.16387e-08
4.92,0.0,156.93136648498432,2.46655e-08
4.92,0.0,156.93094131223145,2.43308e-08
4.92,0.0,156.93050834290457,1.845183e-08
4.92,0.0,156.93011699919765,1.981971e-08
4.92,0.0,156.92968055877395,2.147863e-08
4.92,0.0,156.9292572773455,2.323941e-08
4.92,0.0,156.92884021780708,2.444722e-08
4.92,0.0,156.9284129696195,2.32103e-08
4.92,0.0,156.9279863605012,2.630986e-08
4.92,0.0,156.92759454300437,2.379238e-08
4.92,0.0,156.92715801020853,2.3545e-08
4.92,0.0,156.92671278672378,2.332672e-08
4.92,0.0,156.92631561481383,2.326851e-08
4.92,0.0,156.92588592774038,2.459274e-08
4.92,0.0,156.925484800232,2.338493e-08
4.92,0.0,156.92505443224547,2.27592e-08
4.92,0.0,156.92464675843834,2.114393e-08
4.92,0.0,156.92423456344548,2.156594e-08
4.92,0.0,156.92379787318387,2.332672e-08
4.92,0.0,156.92340180045534,2.192974e-08
4.92,0.0,156.92298196871616,2.248271e-08
4.92,0.0,156.92258216026892,2.181332e-08
4.92,0.0,156.9221425665389,2.293382e-08
4.92,0.0,156.92175005835358,2.518937e-08
