Liquid Conductivity,Total Concentration,CPP,section,stick,x_lo,x_hi,y_lo,y_hi,default_color,effective_center_x,effective_center_y,top_depth,bottom_depth,mid_depth,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj,concentration_<12,concentration_<10,concentration_<9,concentration_<8,concentration_<6,concentration_<4
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81280683082113,156.81280683082113,156.81280683082113,27.81977619748942,30.452979490761543,156.8301290937004,156.8301290937004,156.8301290937004,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81330633313766,156.81330633313766,156.81330633313766,27.81977619748942,30.452979490761543,156.83062859601694,156.83062859601694,156.83062859601694,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81360352685743,156.81360352685743,156.81360352685743,27.81977619748942,30.452979490761543,156.8309257897367,156.8309257897367,156.8309257897367,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81400992739532,156.81400992739532,156.81400992739532,27.81977619748942,30.452979490761543,156.8313321902746,156.8313321902746,156.8313321902746,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81440556134504,156.81440556134504,156.81440556134504,27.81977619748942,30.452979490761543,156.83172782422432,156.83172782422432,156.83172782422432,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8147081185381,156.8147081185381,156.8147081185381,27.81977619748942,30.452979490761543,156.83203038141738,156.83203038141738,156.83203038141738,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8151083432192,156.8151083432192,156.8151083432192,27.81977619748942,30.452979490761543,156.83243060609848,156.83243060609848,156.83243060609848,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81540455372524,156.81540455372524,156.81540455372524,27.81977619748942,30.452979490761543,156.83272681660452,156.83272681660452,156.83272681660452,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81580574938312,156.81580574938312,156.81580574938312,27.81977619748942,30.452979490761543,156.8331280122624,156.8331280122624,156.8331280122624,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81620410834165,156.81620410834165,156.81620410834165,27.81977619748942,30.452979490761543,156.83352637122093,156.83352637122093,156.83352637122093,0.0,0.0,0.0,0.0,0.0,0.0
