section,stick,top_depth,bottom_depth,mid_depth,Cl-,NO3-,SO42-,Na+,K+,Mg2+,Ca+,Li,Rb,Sr,Y,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,V,Cr,As,Mn,Co,Ni,Cu,Zn,Na,Mg,Al,P,Ca,Ti,Fe,S,K,Be,W,Si,x_lo,x_hi,y_lo,y_hi,section_top_depth,offset,default_color,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,LIC,155.065,155.095,155.08,113.5968,31.6494,447.8344,330.738,1.9499,11.1026,79.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.1395815143468,155.1695815143468,155.1545815143468
228_4,LIC,155.0957857,155.1257857,155.1107857,125.7784,38.4252,270.1831,109.0991,0.8173,9.1282,92.7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.17036721434678,155.20036721434678,155.1853672143468
228_4,LIC,155.1265714,155.1565714,155.1415714,134.1413,43.7769,250.2346,114.5509,40.3887,8.4338,103.7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.20115291434678,155.23115291434678,155.2161529143468
228_4,LIC,155.1573571,155.1973571,155.1773571,152.8682,40.2929,621.6103,389.0413,22.8651,8.4912,150.6863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.2319386143468,155.2719386143468,155.25193861434678
228_4,LIC,155.1981429,155.2411429,155.2196429,88.094,21.7243,218.3683,81.0064,2.4848,9.4222,61.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.27272441434678,155.3157244143468,155.2942244143468
228_4,LIC,155.2419286,155.2774286,155.2596786,85.7631,22.5522,172.1448,75.7705,10.5139,8.7115,49.9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.31651011434678,155.3520101143468,155.3342601143468
228_4,LIC,155.2782143,155.3072143,155.2927143,75.9413,22.5152,203.0844,138.7788,13.4365,12.7429,26.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.3527958143468,155.3817958143468,155.3672958143468
228_4,LIC,155.308,155.338,155.323,84.5397,26.1177,190.3981,83.8274,2.007,8.8626,48.2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,-36.77605111603976,13.403045485590871,155.38258151434678,155.41258151434678,155.3975815143468
228_4,RIC,155.065,155.095,155.08,69.5477,14.2625,152.598,195.0584,1.4918,9.132,27.3218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.0199904950351,155.0499904950351,155.03499049503512
228_4,RIC,155.095786,155.125786,155.110786,83.418,19.2221,161.4143,74.0654,7.3771,12.0658,20.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.0507764950351,155.0807764950351,155.0657764950351
228_4,RIC,155.126571,155.156571,155.1415714,72.063,18.7655,152.5658,58.1382,2.3317,10.8804,18.9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.08156149503512,155.11156149503512,155.0965618950351
228_4,RIC,155.157357,155.197357,155.177357,86.4995,24.2441,219.8693,68.6241,7.581,10.0582,40.1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.1123474950351,155.15234749503512,155.1323474950351
228_4,RIC,155.198143,155.241143,155.219643,135.2512,35.9592,261.0586,109.6344,2.4346,9.1635,86.1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.1531334950351,155.1961334950351,155.1746334950351
228_4,RIC,155.241929,155.277429,155.259679,132.2604,43.7556,586.4669,134.3606,1.637,10.245,173.4386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.1969194950351,155.23241949503512,155.2146694950351
228_4,RIC,155.278214,155.307214,155.292714,128.8409,37.6401,323.5197,143.5286,9.0152,7.2912,109.4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.0,0.03,,,5.0,0.065,0.015,-36.77605111603976,13.403045485590871,155.2332044950351,155.2622044950351,155.2477044950351
228_4,ICPMS,155.083,155.114,155.0985,,,,,,,,21.63382,33.28885,186.42235,12.14826,1.34334,2.72459,166.51567,20.78503,37.27648,4.43874,17.00564,3.04868,0.67927,0.41721,2.90259,2.37442,0.45042,1.29539,0.18521,1.13857,0.16743,47.66123547,5.51545,1.74255,36.38122,22.14987,5.60599,715.79165,21.23385,77.16325,175.82319,459.27239,62.53391,18.1808,36.2709941,1.19957,69.1187,0.5213,10.65530843,72.22112,7.77335,,,,0.08,0.1,0.0,0.03,,,6.0,0.09,0.015,-36.77605111603976,13.403045485590871,155.01930439826765,155.05030439826766,155.03480439826765
228_4,ICPMS,155.115,155.146,155.13049999999998,,,,,,,,18.60966,31.65092,245.20747,9.53696,0.95172,1.84652,142.80623,17.30428,34.64083,4.13786,16.3928,2.89617,0.73426,0.36144,2.53001,1.90495,0.35082,0.99537,0.13551,0.94309,0.12426,23.55754509,2.72405,1.18751,36.87578,24.7734,5.38275,641.63974,9.23079,46.48144,401.2891,1991.39896,58.88036,15.98301,33.09057622,2.67462,49.2022,0.74783,12.25592396,65.93077,11.35352,,,,0.08,0.1,0.0,0.03,,,6.0,0.09,0.015,-36.77605111603976,13.403045485590871,155.05130439826766,155.08230439826764,155.06680439826764
228_4,ICPMS,155.147,155.1845,155.16575,,,,,,,,19.76675,33.00651,236.41182,10.24995,0.64441,1.84219,130.56001,20.39455,38.30445,4.28139,16.71453,2.94389,0.69741,0.38258,2.56246,2.07673,0.3722,1.06218,0.14749,0.91753,0.13067,57.97882751,3.21794,0.94471,24.56973,12.9206,3.49754,715.55263,20.75799,50.25984,135.48811,1147.77961,61.71846,20.42869,41.50856138,0.94215,41.14631,0.54436,9.56399044,71.11735,8.777,,,,0.08,0.1,0.0,0.03,,,6.0,0.09,0.015,-36.77605111603976,13.403045485590871,155.08330439826764,155.12080439826767,155.10205439826765
228_4,ICPMS,155.1855,155.2155,155.20049999999998,,,,,,,,16.40404,25.50199,159.73036,6.72844,0.82285,1.38329,79.60182,13.51117,25.58032,3.25469,12.40367,2.1115,0.4912,0.26508,1.82785,1.3199,0.24266,0.75143,0.10427,0.61042,0.07669,28.51680366,2.99068,0.69096,17.736,10.54157,3.62157,411.44576,7.58659,27.28585,125.88746,669.71535,46.98709,11.32015,26.7906914,0.85078,34.03465,0.33707,6.33823386,54.25193,7.89477,,,,0.08,0.1,0.0,0.03,,,6.0,0.09,0.015,-36.77605111603976,13.403045485590871,155.12180439826764,155.15180439826764,155.13680439826763
228_4,ICPMS,155.2165,155.247,155.23175,,,,,,,,39.87791,71.83247,265.3177,22.16371,1.05085,8.91694,284.68014,32.71159,65.6047,7.38388,28.52657,5.74732,1.02164,0.77342,5.06796,4.25277,0.80311,2.31824,0.3052,2.07887,0.30477,43.03560096,10.17414,4.05238,657.45634,46.95531,13.54368,1520.09306,29.09195,114.00025,151.41453,1162.82686,82.17478,25.39291,78.3031145,1.67427,188.39144,1.20946,26.38930363,110.41058,13.03784,,,,0.08,0.1,0.0,0.03,,,6.0,0.09,0.015,-36.77605111603976,13.403045485590871,155.15280439826765,155.18330439826767,155.16805439826766
