section,stick,top_depth,bottom_depth,mid_depth,dD,d17O,d18O,dxs,x_lo,x_hi,y_lo,y_hi,section_top_depth,offset,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,l_iso,155.065,155.075,155.07,-296.18,-19.7,-37.03,0.07,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.15400071081663,155.16400071081662,155.15900071081663
228_4,l_iso,155.0761,155.0861,155.0811,-295.74,-19.69,-36.96,-0.05,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.16510071081663,155.17510071081662,155.17010071081663
228_4,l_iso,155.0873,155.0973,155.0923,-295.99,-19.72,-37.05,0.4,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.17630071081663,155.18630071081662,155.18130071081663
228_4,l_iso,155.0984,155.1084,155.1034,-296.24,-19.8,-37.22,1.49,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.18740071081663,155.19740071081662,155.19240071081663
228_4,l_iso,155.1095,155.1195,155.1145,-296.55,-19.9,-37.4,2.62,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.19850071081663,155.20850071081662,155.20350071081663
228_4,l_iso,155.1207,155.1307,155.1257,-296.07,-19.81,-37.23,1.8,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.20970071081663,155.21970071081662,155.21470071081663
228_4,l_iso,155.1318,155.1418,155.1368,-295.07,-19.62,-36.86,-0.2,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.22080071081663,155.23080071081662,155.22580071081663
228_4,l_iso,155.1429,155.1529,155.1479,-294.05,-19.6,-36.81,0.4,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.23190071081663,155.24190071081662,155.23690071081663
228_4,l_iso,155.154,155.164,155.159,-293.9,-19.76,,3.85,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.24300071081663,155.25300071081662,155.24800071081663
228_4,l_iso,155.1652,155.1752,155.1702,-293.23,-19.5,-36.71,0.41,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.25420071081663,155.26420071081662,155.25920071081663
228_4,l_iso,155.1763,155.1863,155.1813,-292.74,-19.47,-36.64,0.37,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.26530071081663,155.27530071081662,155.27030071081663
228_4,l_iso,155.1874,155.1974,155.1924,-292.31,-19.47,-36.6,0.51,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.27640071081663,155.28640071081662,155.28140071081663
228_4,l_iso,155.1986,155.2086,155.2036,-292.0,-19.48,-36.63,1.01,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.28760071081663,155.29760071081662,155.29260071081663
228_4,l_iso,155.2097,155.2197,155.2147,-291.5,-19.46,-36.56,1.0,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.29870071081663,155.30870071081662,155.30370071081663
228_4,l_iso,155.2208,155.2308,155.2258,-291.57,-19.43,-36.54,0.76,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.30980071081663,155.31980071081662,155.31480071081663
228_4,l_iso,155.232,155.242,155.237,-291.53,-19.47,-36.56,0.94,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.32100071081663,155.33100071081662,155.32600071081663
228_4,l_iso,155.2431,155.2531,155.2481,-291.63,-19.49,-36.64,1.46,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.33210071081663,155.34210071081662,155.33710071081663
228_4,l_iso,155.2542,155.2642,155.2592,-291.66,-19.46,-36.55,0.75,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.34320071081663,155.35320071081662,155.34820071081663
228_4,l_iso,155.2653,155.2753,155.2703,-291.21,-19.41,-36.48,0.59,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.35430071081663,155.36430071081662,155.35930071081663
228_4,l_iso,155.2765,155.2865,155.2815,-290.92,-19.42,-36.49,1.0,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.36550071081663,155.37550071081662,155.37050071081663
228_4,l_iso,155.2876,155.2976,155.2926,-291.08,-19.49,-36.62,1.86,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.37660071081663,155.38660071081662,155.38160071081663
228_4,l_iso,155.2987,155.3087,155.3037,-292.0,-19.53,-36.74,1.9,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.38770071081663,155.39770071081662,155.39270071081663
228_4,l_iso,155.3099,155.3199,155.3149,-293.97,-19.63,-36.87,0.96,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.39890071081663,155.40890071081662,155.40390071081663
228_4,l_iso,155.321,155.338,155.3295,-294.24,-19.63,-36.88,0.83,-0.11,-0.12,0.0,0.03,,,-0.11459080692902839,0.014060672700065235,-36.77605111603976,13.403045485590871,155.41000071081663,155.42700071081663,155.41850071081663
228_4,r_iso,155.078,155.088,155.083,-291.11,-19.42,-36.48,0.77,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,154.9995789200691,155.0095789200691,155.0045789200691
228_4,r_iso,155.0891,155.0991,155.0941,-291.67,-19.42,-36.49,0.26,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0106789200691,155.0206789200691,155.0156789200691
228_4,r_iso,155.1001,155.1101,155.1051,-291.6,-19.46,-36.58,1.01,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0216789200691,155.03167892006908,155.0266789200691
228_4,r_iso,155.1112,155.1212,155.1162,-291.25,-19.42,-36.55,1.15,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0327789200691,155.04277892006908,155.0377789200691
228_4,r_iso,155.1222,155.1322,155.1272,-291.13,-19.45,-36.55,1.28,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0437789200691,155.0537789200691,155.04877892006908
228_4,r_iso,155.1333,155.1433,155.1383,-290.97,-19.44,-36.5,1.02,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0548789200691,155.0648789200691,155.05987892006908
228_4,r_iso,155.1443,155.1543,155.1493,-291.77,-19.41,-36.46,-0.07,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.06587892006908,155.0758789200691,155.0708789200691
228_4,r_iso,155.1554,155.1654,155.1604,-291.29,-19.37,-36.42,0.04,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.07697892006908,155.0869789200691,155.0819789200691
228_4,r_iso,155.1664,155.1764,155.1714,-291.16,-19.36,-36.42,0.21,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0879789200691,155.0979789200691,155.0929789200691
228_4,r_iso,155.1775,155.1875,155.1825,-291.09,-19.38,-36.4,0.11,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.0990789200691,155.1090789200691,155.1040789200691
228_4,r_iso,155.1885,155.1985,155.1935,-290.53,-19.33,-36.31,-0.01,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1100789200691,155.1200789200691,155.1150789200691
228_4,r_iso,155.1996,155.2096,155.2046,-290.19,-19.32,-36.29,0.15,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1211789200691,155.1311789200691,155.1261789200691
228_4,r_iso,155.2106,155.2206,155.2156,-290.24,-19.37,-36.34,0.49,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1321789200691,155.14217892006909,155.1371789200691
228_4,r_iso,155.2217,155.2317,155.2267,-291.3,-19.38,-36.44,0.21,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1432789200691,155.15327892006908,155.1482789200691
228_4,r_iso,155.2327,155.24269999999999,155.2377,-292.87,,-36.64,0.21,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1542789200691,155.16427892006908,155.15927892006908
228_4,r_iso,155.2438,155.25379999999998,155.2488,-294.63,-19.64,-36.89,0.48,0.12,0.1,0.0,0.03,,,0.1095587725885367,0.014553512068557446,-36.77605111603976,13.403045485590871,155.1653789200691,155.17537892006908,155.17037892006908
