ID,dD,d18O,dxs,dln
alhic2302-159_3-l-1,-294.75,-36.96,0.9,10.20164154
alhic2302-159_3-l-2,-295.12,-37.08,1.55,11.00028291
alhic2302-159_3-l-3,-295.41,-37.16,1.88,11.47164127
alhic2302-159_3-l-4,-294.93,-37.11,1.93,11.60081402
alhic2302-159_3-l-5,-294.83,-37.11,2.06,11.74263386
alhic2302-159_3-l-6,-294.39,-37.03,1.82,11.48383347
alhic2302-159_3-l-7,-294.37,-37,1.65,11.18133435
alhic2302-159_3-l-8,-294.61,-37.08,2,11.7235487
alhic2302-159_3-l-9,-294.35,-37.05,2.08,11.76111885
alhic2302-159_3-l-10,-294.5,-37.09,2.19,11.98981069
alhic2302-159_3-l-11,-294.32,-37.06,2.18,11.9139421
alhic2302-159_3-l-12,-294.53,-37.06,1.95,11.61631251
alhic2302-159_3-l-13,-294.33,-36.99,1.59,11.12775327
alhic2302-159_3-l-14,-294.33,-37.04,2.03,11.67915824
alhic2302-159_3-l-15,-294.68,-37.09,2.02,11.73463994
alhic2302-159_3-l-16,-294.86,-37.12,2.07,11.81044394
alhic2302-159_3-l-17,-294.8,-37.08,1.83,11.45415788
alhic2302-159_3-l-18,-295,-37.15,2.19,11.94298763
alhic2302-159_3-l-19,-294.91,-37.14,2.18,11.96026325
alhic2302-159_3-l-20,-295.18,-37.17,2.17,11.90840938
alhic2302-159_3-l-21,-295.88,-37.22,1.87,11.4668159
alhic2302-159_3-l-22,-296.47,-37.31,2.02,11.6227095
alhic2302-159_3-l-23,-296.62,-37.32,1.95,11.51997609
alhic2302-159_3-l-24,-297.27,-37.4,1.92,11.47970106
alhic2302-159_3-l-25,-297.34,-37.44,2.18,11.82239054
alhic2302-159_3-l-26,-297.37,-37.41,1.93,11.44795431
alhic2302-159_3-l-27,-297.4,-37.44,2.13,11.73699709
alhic2302-159_3-l-28,-297.54,-37.45,2.06,11.64831208
alhic2302-159_3-l-29,-297.59,-37.49,2.3,12.0195831
alhic2302-159_3-l-30,-297.59,-37.45,2.03,11.57713112
alhic2302-159_3-l-31,-297.1,-37.44,2.45,12.16389144
alhic2302-159_3-l-32,-297.33,-37.44,2.2,11.83662207
alhic2302-159_3-l-33,-297.39,-37.42,2.01,11.53006226
alhic1901-230_4-l-1,-279.4,-35.34,3.35,13.96998079
alhic1901-230_4-l-2,-278.6,-35.3,3.81,14.64335847
alhic1901-230_4-l-3,-278.79,-35.38,4.26,15.25244805
alhic1901-230_4-l-4,-279,-35.36,3.84,14.74305953
alhic1901-230_4-l-5,-281.37,-35.54,2.98,13.41510816
